friction_model,x1,spacing_m,n_total,n_points,alpha_key,k_dx,r2_dx,k_idx,r2_idx,delta_r2,fit_ok,idx_better,Cf,Kleak
steady,3000.0,20.0,5,5,alpha_2d,0.09797417065155575,0.6895746901710406,0.315007458636547,0.8551255909081483,0.16555090073710776,True,True,1e-07,0.0
steady,3000.0,20.0,5,5,alpha_2d,0.09823764484707735,0.689392773894954,0.3158889597293848,0.8553907418558819,0.16599796796092792,True,True,1e-07,1e-06
steady,3000.0,20.0,5,5,alpha_2d,0.09920544748590132,0.6862736916513353,0.31920059759003216,0.8540942442861095,0.16782055263477413,True,True,1e-07,5e-06
steady,3000.0,20.0,5,5,alpha_2d,0.1004965720621749,0.6724138407741196,0.3239587582860614,0.844002063173358,0.17158822239923843,True,True,1e-07,1e-05
steady,3000.0,20.0,5,5,alpha_2d,0.10689323910576935,0.722847272917468,0.3427745930041611,0.8846142306041205,0.1617669576866525,True,True,1e-07,5e-05
steady,3000.0,20.0,5,5,alpha_2d,0.10049381585345186,0.7656210449894234,0.32058069721122384,0.9167256776009289,0.15110463261150553,True,True,1e-07,0.0001
steady,3000.0,20.0,5,5,alpha_2d,0.12998323058412836,0.8231222142381946,0.41100441745027977,0.933511477605149,0.11038926336695432,True,True,1e-07,0.0005
steady,3000.0,20.0,5,5,alpha_2d,0.14386957412845142,0.8049882936623027,0.45442187680534046,0.9271658102599925,0.12217751659768972,True,True,1e-07,0.001
steady,3000.0,20.0,5,5,alpha_2d,0.7521674476135377,0.994674441178378,2.3308720116967745,0.9962624536832944,0.0015880125049163585,True,True,1e-07,0.005
steady,3000.0,20.0,5,5,alpha_2d,0.2977500613318498,0.8617534136019449,0.9389770577037295,0.9626653467772831,0.1009119331753382,True,True,5e-07,0.0
steady,3000.0,20.0,5,5,alpha_2d,0.29733236590068207,0.8612863145562888,0.9376296268713127,0.9623224015118479,0.1010360869555591,True,True,5e-07,1e-06
steady,3000.0,20.0,5,5,alpha_2d,0.2948957576635243,0.8606220722203239,0.9297674136632097,0.9617176821207575,0.10109560990043354,True,True,5e-07,5e-06
steady,3000.0,20.0,5,5,alpha_2d,0.2913556318300958,0.8605289301563883,0.9183586905060594,0.9613929086908002,0.10086397853441187,True,True,5e-07,1e-05
