friction_model,x1,spacing_m,n_total,n_points,alpha_key,k_dx,r2_dx,k_idx,r2_idx,delta_r2,fit_ok,idx_better
steady,2000.0,10.0,2,2,alpha_2d,,,,,,False,False
steady,2000.0,10.0,3,3,alpha_2d,0.30000574669476404,0.9902560777529406,0.9025531354633421,0.9993262275817969,0.009070149828856344,True,True
steady,2000.0,10.0,4,4,alpha_2d,0.40566463888054943,0.998827436275536,1.1067186537594718,0.9855773054271658,-0.013250130848370234,True,False
steady,2000.0,10.0,5,5,alpha_2d,0.3948027121345009,0.9984460877635409,1.0107375689603164,0.9785629066790039,-0.019883181084537016,True,False
steady,2000.0,10.0,6,6,alpha_2d,0.3587223291443158,0.9668552791616087,0.8850845462315596,0.9994327628146585,0.0325774836530498,True,True
steady,2000.0,10.0,7,7,alpha_2d,0.363589449517158,0.9602392473331803,0.8629272750401743,0.9984387270027653,0.038199479669584924,True,True
steady,2000.0,10.0,8,8,alpha_2d,0.32094315006348023,0.9434243832241647,0.7402060112838285,0.9998484729930929,0.05642408976892821,True,True
steady,2000.0,20.0,2,2,alpha_2d,,,,,,False,False
steady,2000.0,20.0,3,3,alpha_2d,0.2398038589303298,0.9834896901636834,0.895536347961659,0.9996700314904882,0.016180341326804792,True,True
steady,2000.0,20.0,4,4,alpha_2d,0.313682682925865,0.9878212048846843,1.050353066232181,0.9947137778483535,0.006892572963669186,True,True
steady,2000.0,20.0,5,5,alpha_2d,0.3476514360556638,0.9886852519620942,1.0793878579884808,0.9888159326515166,0.00013068068942234667,True,True
steady,2000.0,20.0,6,6,alpha_2d,0.3048632867706095,0.9051957103128538,0.9110319353290546,0.9929486002904625,0.08775288997760866,True,True
steady,2000.0,20.0,7,7,alpha_2d,0.35540785569464595,0.9632881823005082,1.0056799607339095,0.9954185423589424,0.03213036005843428,True,True
steady,2000.0,20.0,8,8,alpha_2d,0.3130661102855948,0.8706115059779844,0.8657392391602091,0.985726206754469,0.11511470077648456,True,True
steady,2000.0,30.0,2,2,alpha_2d,,,,,,False,False
steady,2000.0,30.0,3,3,alpha_2d,0.20876324365834048,0.9772720102062747,0.8712237836755838,0.9999476390686365,0.02267562886236174,True,True
steady,2000.0,30.0,4,4,alpha_2d,0.3294981347639244,0.9676101803979982,1.2330601644833477,0.9997006362864215,0.0320904558884233,True,True
steady,2000.0,30.0,5,5,alpha_2d,0.32272765323555747,0.9311339079078264,1.124489179543532,0.995592372063414,0.06445846415558765,True,True
steady,2000.0,30.0,6,6,alpha_2d,0.32298442433024366,0.8359887166691166,1.0745748990913222,0.9613818646669093,0.12539314799779278,True,True
steady,2000.0,30.0,7,7,alpha_2d,0.36373301040229356,0.8469694599708079,1.1495186045874195,0.9716905205628036,0.12472106059199572,True,True
steady,2000.0,30.0,8,8,alpha_2d,0.36074332268779563,0.8383506594815995,1.0958027127256742,0.9712097518663885,0.132859092384789,True,True
steady,2000.0,40.0,2,2,alpha_2d,,,,,,False,False
steady,2000.0,40.0,3,3,alpha_2d,0.311078120452949,0.9319976606699755,1.4173083215347761,0.9814999013218916,0.04950224065191611,True,True
steady,2000.0,40.0,4,4,alpha_2d,0.4006188609915425,0.9602550167692814,1.6041421697283202,0.9967475576909529,0.036492540921671535,True,True
steady,2000.0,40.0,5,5,alpha_2d,0.31735582551054103,0.9088817049544176,1.1777860071243904,0.9891985691853364,0.08031686423091888,True,True
steady,2000.0,40.0,6,6,alpha_2d,0.3949629264255573,0.9019078276238156,1.3766836875350417,0.9852817830649883,0.08337395544117265,True,True
steady,2000.0,40.0,7,7,alpha_2d,0.36452973568074515,0.8941755035461053,1.21098698827454,0.9903415337905572,0.09616603024445192,True,True
steady,2000.0,40.0,8,8,alpha_2d,0.3739494223421019,0.887699556407766,1.194280526199218,0.9922460492860787,0.10454649287831275,True,True
steady,2000.0,50.0,2,2,alpha_2d,,,,,,False,False
steady,2000.0,50.0,3,3,alpha_2d,0.29774596299546907,0.9283172437115788,1.432461591451489,0.9800146815270674,0.051697437815488634,True,True
steady,2000.0,50.0,4,4,alpha_2d,0.3685869431569457,0.9467629021661405,1.5557838513462052,0.9932478523166987,0.0464849501505582,True,True
steady,2000.0,50.0,5,5,alpha_2d,0.3229121080241532,0.9083865793116668,1.2596159735805321,0.9893285697898622,0.08094199047819539,True,True
steady,2000.0,50.0,6,6,alpha_2d,0.39237058368503247,0.9438904755304597,1.4230187588090863,0.9965827507155637,0.052692275185104,True,True
steady,2000.0,50.0,7,7,alpha_2d,0.33949294064225627,0.883317834820033,1.1821474792397377,0.989809189316408,0.10649135449637503,True,True
steady,2000.0,50.0,8,8,alpha_2d,0.3584234832698424,0.8867462173613911,1.195381464364764,0.9927178157032669,0.10597159834187575,True,True
steady,2000.0,60.0,2,2,alpha_2d,,,,,,False,False
steady,2000.0,60.0,3,3,alpha_2d,0.2810467308282631,0.9207524889984225,1.4118185728328954,0.9767809610930416,0.05602847209461903,True,True
steady,2000.0,60.0,4,4,alpha_2d,0.34170864365070425,0.8946839247780618,1.5210702676860253,0.9729143971922803,0.07823047241421854,True,True
steady,2000.0,60.0,5,5,alpha_2d,0.32728566204221415,0.8856125285609454,1.3332348324378887,0.9811443359873515,0.0955318074264061,True,True
steady,2000.0,60.0,6,6,alpha_2d,0.39973631223632994,0.9344735585803479,1.5095665561115257,0.9969067433666687,0.06243318478632087,True,True
steady,2000.0,60.0,7,7,alpha_2d,0.3832709635102599,0.8613450855602235,1.3869126547269497,0.978486146471614,0.11714106091139054,True,True
steady,2000.0,60.0,8,8,alpha_2d,0.3783368586775948,0.8488602849486857,1.3140090985454134,0.9793023833921345,0.13044209844344878,True,True
steady,2000.0,70.0,2,2,alpha_2d,,,,,,False,False
steady,2000.0,70.0,3,3,alpha_2d,0.28130913040879363,0.9033258268158832,1.4647935579520355,0.9649904835423893,0.061664656726506006,True,True
steady,2000.0,70.0,4,4,alpha_2d,0.27495150656899575,0.9089042847592783,1.2499945477279877,0.9827426209651454,0.0738383362058671,True,True
steady,2000.0,70.0,5,5,alpha_2d,0.300685573852736,0.9094766566185726,1.2529049724745258,0.9901045657378329,0.08062790911926032,True,True
steady,2000.0,70.0,6,6,alpha_2d,0.3495391525668657,0.9230245243667121,1.3571211404445782,0.992965037527779,0.06994051316106686,True,True
steady,2000.0,70.0,7,7,alpha_2d,0.3345388401841606,0.8796692636565729,1.2442852119290388,0.9889605729306968,0.1092913092741239,True,True
steady,2000.0,70.0,8,8,alpha_2d,0.32690025483215585,0.8861541433483178,1.1641248578190193,0.994146079222326,0.10799193587400824,True,True
steady,2000.0,80.0,2,2,alpha_2d,,,,,,False,False
steady,2000.0,80.0,3,3,alpha_2d,0.27928971159051325,0.9101541665815461,1.4955718679573389,0.969223111347019,0.059068944765472864,True,True
steady,2000.0,80.0,4,4,alpha_2d,0.2470787915011451,0.90494815076672,1.1549869163984228,0.9837555115815513,0.0788073608148313,True,True
steady,2000.0,80.0,5,5,alpha_2d,0.2903353884497766,0.9103915670281242,1.2416309172849382,0.99118410040357,0.08079253337544579,True,True
steady,2000.0,80.0,6,6,alpha_2d,0.35774474860482336,0.9330618388919408,1.427144173024278,0.9969242847065088,0.06386244581456801,True,True
steady,2000.0,80.0,7,7,alpha_2d,0.3410082316479216,0.8560945774314932,1.3063749668648919,0.9799216175808747,0.1238270401493815,True,True
steady,2000.0,80.0,8,8,alpha_2d,0.31902319273555774,0.8855574984853982,1.1641487212346655,0.9938982431312486,0.10834074464585042,True,True
steady,2000.0,90.0,2,2,alpha_2d,,,,,,False,False
steady,2000.0,90.0,3,3,alpha_2d,0.19537820298098646,0.98358569479059,1.0417431151672676,0.9984629233885826,0.014877228597992564,True,True
steady,2000.0,90.0,4,4,alpha_2d,0.1447853313128585,0.9385242455218172,0.6869779882912261,0.9994152302131344,0.06089098469131715,True,True
steady,2000.0,90.0,5,5,alpha_2d,0.1720303889058071,0.9275973749107893,0.7483662021279924,0.9984602720588095,0.07086289714802019,True,True
steady,2000.0,90.0,6,6,alpha_2d,0.21820541671719426,0.9220621021852448,0.8890473117856735,0.9993588236201794,0.0772967214349346,True,True
steady,2000.0,90.0,7,7,alpha_2d,0.20596108611051525,0.879944661227155,0.8005637510895184,0.9955431817191577,0.1155985204920027,True,True
steady,2000.0,90.0,8,8,alpha_2d,0.19231145905871144,0.8538920393234763,0.7176233634945944,0.9857618565314515,0.1318698172079752,True,True
steady,2000.0,100.0,2,2,alpha_2d,,,,,,False,False
steady,2000.0,100.0,3,3,alpha_2d,0.19127382982144608,0.9821704127217165,1.042805441318099,0.9987715498751886,0.016601137153472112,True,True
steady,2000.0,100.0,4,4,alpha_2d,0.14374865983395418,0.9321646711367699,0.6974250310483601,0.9989941275262643,0.06682945638949433,True,True
steady,2000.0,100.0,5,5,alpha_2d,0.16991672728321047,0.9234134890333647,0.754758703734798,0.9982566714854808,0.07484318245211607,True,True
steady,2000.0,100.0,6,6,alpha_2d,0.20210762060794504,0.925503825305212,0.8380327082671831,0.999058946880407,0.07355512157519495,True,True
steady,2000.0,100.0,7,7,alpha_2d,0.18889853351311145,0.9000760236366234,0.7444437665097476,0.9987181067152145,0.09864208307859113,True,True
steady,2000.0,100.0,8,8,alpha_2d,0.17970448534837624,0.8916440688389977,0.6781072816805366,0.9928440417558586,0.10119997291686089,True,True
steady,2500.0,10.0,2,2,alpha_2d,,,,,,False,False
steady,2500.0,10.0,3,3,alpha_2d,0.3377724650369128,0.9903733184627849,1.0165421803661414,0.9995663602003277,0.009193041737542873,True,True
steady,2500.0,10.0,4,4,alpha_2d,0.31791443431431116,0.9737664009166265,0.8771174606266982,0.9996113838969367,0.025844982980310238,True,True
steady,2500.0,10.0,5,5,alpha_2d,0.30921593621923754,0.9657435094386758,0.8008523841983172,0.9998576906026899,0.0341141811640141,True,True
steady,2500.0,10.0,6,6,alpha_2d,0.3387766136799442,0.9422636849394248,0.8387222286158584,0.9971839145166633,0.05492022957723852,True,True
steady,2500.0,10.0,7,7,alpha_2d,0.3801469460543018,0.961536190741528,0.9023675141824139,0.996885332082331,0.035349141340803025,True,True
steady,2500.0,10.0,8,8,alpha_2d,0.35607278398331643,0.9235503943234735,0.8229284580371861,0.9957943150031727,0.0722439206796992,True,True
steady,2500.0,20.0,2,2,alpha_2d,,,,,,False,False
steady,2500.0,20.0,3,3,alpha_2d,0.24998346206039154,0.9849232766577682,0.9331899938539117,0.9995269901578901,0.014603713500121906,True,True
steady,2500.0,20.0,4,4,alpha_2d,0.2848703788874057,0.948214577553175,0.9645123401753446,0.9966247543362784,0.04841017678310344,True,True
steady,2500.0,20.0,5,5,alpha_2d,0.30158549245325617,0.9100978239437261,0.9534698586113166,0.9892849197340418,0.07918709579031569,True,True
steady,2500.0,20.0,6,6,alpha_2d,0.3454258350594675,0.8187036078356448,1.0462601037180013,0.9446032962363493,0.12589968840070453,True,True
steady,2500.0,20.0,7,7,alpha_2d,0.4158161813199831,0.8694951071841767,1.197851326864197,0.9715496317553974,0.10205452457122077,True,True
steady,2500.0,20.0,8,8,alpha_2d,0.40743282474791065,0.7899258253739847,1.1375907770820137,0.9370739961730621,0.14714817079907738,True,True
steady,2500.0,30.0,2,2,alpha_2d,,,,,,False,False
steady,2500.0,30.0,3,3,alpha_2d,0.32077784415484223,0.934291337042074,1.3569003000559736,0.9826240787697621,0.04833274172768809,True,True
steady,2500.0,30.0,4,4,alpha_2d,0.348800374530221,0.928841982395025,1.310976741856134,0.9885430615719882,0.05970107917696321,True,True
