D,k,t_peak,est,rayleigh,a_f0,a_onset,a_peak,dH_win,t_win,dt_shift,d_est
5,0.0,6.6530000000000005,0.0009999999999994458,1.0,1409.3451691248713,1450.5572262515477,1450.5572262515477,"[ -9.17038375  -9.16106042  -8.24012901 ... -22.15583474 -21.97727188
 -21.96533059]",[6.5   6.501 6.502 ... 7.498 7.499 7.5  ],0.0,0.0
5,0.01,6.667,0.01100000000000012,0.0,1408.161751147271,1450.3006720905553,1446.9737074289749,"[-11.02430302 -11.01191352 -11.00183861 ... -22.74779123 -22.64971249
 -22.55409668]",[6.5   6.501 6.502 ... 7.498 7.499 7.5  ],0.013999999999999346,0.010000000000000675
5,0.02,6.682,0.015000000000000568,0.0,1407.0624620364715,1449.5315538271168,1443.1538190777894,"[-11.07127467 -11.06068473 -11.05249187 ... -23.28119998 -23.18267818
 -23.0876627 ]",[6.5   6.501 6.502 ... 7.498 7.499 7.5  ],0.028999999999999915,0.014000000000001123
5,0.05,6.726,0.02200000000000024,0.0,1397.1514529509393,1446.463221026636,1432.0642682500873,"[-11.12532025 -11.11584191 -11.10639561 ... -24.73590308 -24.63769561
 -24.54066676]",[6.5   6.501 6.502 ... 7.498 7.499 7.5  ],0.07299999999999951,0.021000000000000796
5,0.1,6.795,0.028999999999999915,0.0,1358.720407033519,1441.1247803163444,1415.0129421915444,"[-11.34525099 -11.33612334 -11.32699762 ... -26.17860557 -26.07909809
 -25.97953549]",[6.5   6.501 6.502 ... 7.498 7.499 7.5  ],0.14199999999999946,0.02800000000000047
5,0.2,6.923,0.10099999999999998,0.0,1250.1432100933603,1431.564245810056,1384.4335640722607,"[-12.0025117  -11.99780948 -11.99312618 ... -26.28594009 -26.20460903
 -26.12366063]",[6.5   6.501 6.502 ... 7.498 7.499 7.5  ],0.2699999999999996,0.10000000000000053
10,0.0,6.6530000000000005,0.0009999999999994458,1.0,1409.386852416458,1450.5572262515477,1450.5572262515477,"[  3.50871753   3.59203627   3.60617804 ... -22.81037412 -22.6269537
 -22.61646395]",[6.5   6.501 6.502 ... 7.498 7.499 7.5  ],0.0,0.0
10,0.01,6.667,0.008000000000000007,0.5001271384401118,1408.317040202451,1450.3006720905553,1446.9737074289749,"[  0.67820092   1.02206776   1.3667696  ... -23.3602464  -23.2592209
 -23.1637661 ]",[6.5   6.501 6.502 ... 7.498 7.499 7.5  ],0.013999999999999346,0.007000000000000561
10,0.02,6.68,0.01499999999999968,0.0,1407.249880428494,1449.5315538271168,1443.661971830986,"[ -2.42191841  -2.11365263  -1.81870353 ... -23.69800148 -23.59568023
 -23.4990828 ]",[6.5   6.501 6.502 ... 7.498 7.499 7.5  ],0.026999999999999247,0.014000000000000234
10,0.05,6.724,0.026999999999999247,0.0,1397.041470100997,1446.463221026636,1432.56464011181,"[-10.69444328 -10.61394529 -10.51789714 ... -25.01737281 -24.91675994
 -24.81704458]",[6.5   6.501 6.502 ... 7.498 7.499 7.5  ],0.07099999999999973,0.0259999999999998
10,0.1,6.797,0.036000000000000476,0.0,1359.0596479030473,1441.3780980840218,1414.5247541831982,"[-11.11658391 -11.10782068 -11.0990631  ... -25.89604586 -25.80223502
 -25.70855573]",[6.5   6.501 6.502 ... 7.498 7.499 7.5  ],0.14399999999999924,0.03500000000000103
10,0.2,6.924,0.10300000000000065,0.0,1251.6682504510932,1432.0642682500873,1384.1998649561106,"[-11.79512859 -11.78878002 -11.78240362 ... -25.81735135 -25.75083439
 -25.68442175]",[6.5   6.501 6.502 ... 7.498 7.499 7.5  ],0.2709999999999999,0.1020000000000012
20,0.0,6.654,0.0009999999999994458,1.0,1409.4455601485108,1450.5572262515477,1450.3006720905553,"[  5.86721724   5.77455389   5.77455389 ... -24.61151792 -24.39853119
 -24.39853119]",[6.5   6.501 6.502 ... 7.498 7.499 7.5  ],0.0,0.0
20,0.01,6.667,0.008000000000000007,1.0,1408.4846416227012,1450.3006720905553,1446.9737074289749,"[  5.05501248   5.14236717   5.24711034 ... -25.02466607 -24.91258673
 -24.81241634]",[6.5   6.501 6.502 ... 7.498 7.499 7.5  ],0.0129999999999999,0.007000000000000561
20,0.02,6.68,0.012000000000000455,1.0,1407.4317049064064,1449.2753623188405,1443.661971830986,"[  4.6075024    4.6710867    4.72418459 ... -25.43015141 -25.31393582
 -25.21476132]",[6.5   6.501 6.502 ... 7.498 7.499 7.5  ],0.0259999999999998,0.011000000000001009
20,0.05,6.721,0.027000000000000135,0.17340871263711763,1396.9874330500486,1446.463221026636,1433.3158538717007,"[  1.92389908   1.97378938   2.02565143 ... -26.46757544 -26.3588635
 -26.25210309]",[6.5   6.501 6.502 ... 7.498 7.499 7.5  ],0.06700000000000017,0.02600000000000069
20,0.1,6.792,0.051000000000000156,0.0,1359.6955795234321,1441.3780980840218,1415.7458563535913,"[ -6.2151771   -6.04003601  -5.86536973 ... -26.69314103 -26.59362747
 -26.4946142 ]",[6.5   6.501 6.502 ... 7.498 7.499 7.5  ],0.1379999999999999,0.05000000000000071
20,0.2,6.931,0.10099999999999998,0.0,1254.0092268678388,1432.3144104803491,1382.5661777103355,"[-11.38061445 -11.37416871 -11.36767425 ... -25.88726415 -25.8304761
 -25.77349463]",[6.5   6.501 6.502 ... 7.498 7.499 7.5  ],0.27700000000000014,0.10000000000000053
50,0.0,6.654,0.0009999999999994458,1.0,1409.618223688538,1450.5572262515477,1450.3006720905553,"[ -6.89200081  -6.94023778  -6.99815905 ... -24.3230625  -23.72091371
 -23.75494623]",[6.5   6.501 6.502 ... 7.498 7.499 7.5  ],0.0,0.0
50,0.01,6.667,0.008000000000000007,1.0,1408.8514458956836,1450.3006720905553,1446.9737074289749,"[ -6.34688721  -6.34385411  -6.3584503  ... -23.31476386 -24.0422484
 -24.35209471]",[6.5   6.501 6.502 ... 7.498 7.499 7.5  ],0.0129999999999999,0.007000000000000561
50,0.02,6.68,0.012000000000000455,1.0,1407.9513710604524,1449.5315538271168,1443.661971830986,"[ -6.27180186  -6.29561057  -6.31843616 ...  -9.93377509 -12.3066768
 -14.91394024]",[6.5   6.501 6.502 ... 7.498 7.499 7.5  ],0.0259999999999998,0.011000000000001009
50,0.05,6.718,0.025000000000000355,1.0,1398.3205064898957,1446.7184191954834,1434.067855893669,"[ -4.89406806  -4.92051606  -4.94602551 ... -20.48725183 -19.91854262
 -19.24946491]",[6.5   6.501 6.502 ... 7.498 7.499 7.5  ],0.06400000000000006,0.02400000000000091
50,0.1,6.782,0.05999999999999961,1.0,1363.9628225912597,1441.6315049226441,1418.1943964026289,"[ -3.84031303  -3.85823948  -3.8752434  ... -25.13456814 -24.88333433
 -24.63235302]",[6.5   6.501 6.502 ... 7.498 7.499 7.5  ],0.1280000000000001,0.05900000000000016
50,0.2,6.918,0.1280000000000001,0.7430968535366619,1260.9053361133995,1432.3144104803491,1385.6032443393037,"[ -4.05994845  -4.03368863  -4.00628379 ... -23.19124122 -22.95579938
 -22.74125738]",[6.5   6.501 6.502 ... 7.498 7.499 7.5  ],0.26400000000000023,0.12700000000000067
100,0.0,6.654,0.0009999999999994458,1.0,1409.843948652371,1450.5572262515477,1450.3006720905553,"[  -9.91337081   -9.9462336    -9.97376955 ... -129.89448025 -129.17139636
 -129.19031971]",[6.5   6.501 6.502 ... 7.498 7.499 7.5  ],0.0,0.0
