friction_model,n_total,x1,spacing_m,P_1,P_2,P_3,P_4,alpha_2,alpha_3,alpha_4
steady,4,2000.0,10.0,2.0428518898348846,0.8069496814033619,0.5912287133717731,0.4867642761500487,0.3950113492900282,0.2894134010956417,0.2382768318017376
steady,4,2000.0,20.0,1.99902501023102,0.8865551434377966,0.6129573021868227,0.4972865994419728,0.4434937726643754,0.3066281307385871,0.2487645711768775
steady,4,2000.0,30.0,1.79005870525476,0.7592511856727426,0.479451632049012,0.3149940270600271,0.4241487630790782,0.2678412895854031,0.1759685456881132
steady,4,2000.0,40.0,1.8089158714910412,0.6529250304869904,0.267836116360739,0.2100483131605043,0.3609482567858734,0.1480644404650885,0.1161183427438043
steady,4,2000.0,50.0,1.7585675698786984,0.6854814851877533,0.2679430597006131,0.217865954183623,0.3897953635270529,0.1523643812669053,0.123888304274058
steady,4,2000.0,60.0,1.5711275011265573,0.7270992942930217,0.2865645366278047,0.1695525852393342,0.4627882165971025,0.1823941955203045,0.1079177756851424
steady,4,2000.0,70.0,1.5510792657957715,0.7726507477664869,0.3369312159717744,0.2845105058766375,0.4981375000007387,0.2172237250550274,0.1834274444579537
steady,4,2000.0,80.0,1.5896958392367682,0.8305550274569692,0.3944769330807567,0.3281283728535497,0.5224615973428782,0.2481461694396519,0.2064095311535117
steady,4,2000.0,90.0,1.85035427260245,1.1432128832758162,0.8876989535118547,0.7044598757395143,0.6178345953545061,0.4797454015459111,0.3807162153595156
steady,4,2000.0,100.0,1.8561996917455463,1.1468980646346425,0.8859909769514956,0.6904753770007821,0.6178742889220686,0.4773144726246135,0.3719833485972987
steady,4,2500.0,10.0,1.954698453109757,1.0569532660599208,0.7633283953178535,0.5707853064883827,0.5407244602759055,0.3905095407956473,0.2920068338829001
steady,4,2500.0,20.0,1.876289574044654,0.9911543525425168,0.694720123116126,0.4605402474585408,0.5282523370877762,0.3702627423434119,0.2454526496492594
steady,4,2500.0,30.0,1.740404409693751,0.8178189361483069,0.3704734732690488,0.2849758579245671,0.4699016685967911,0.2128663149814926,0.1637411720731693
steady,4,2500.0,40.0,1.7356357841089924,0.8248303243499999,0.3785865730392542,0.2893808701648098,0.4752323799162942,0.218125586315683,0.1667290296814009
