snr_db,seed,tau_cep_steady_s,dx_cep_steady_m,tau_cep_k0.01_s,dx_cep_k0.01_m,delta_x_cep_m
60.0,42,5.653999999999377,-0.8500000004514732,5.666999999999375,8.57499999954689,9.424999999998363
60.0,43,5.653999999999377,-0.8500000004514732,5.666999999999375,8.57499999954689,9.424999999998363
60.0,44,5.653999999999377,-0.8500000004514732,5.666999999999375,8.57499999954689,9.424999999998363
60.0,45,5.653999999999377,-0.8500000004514732,5.666999999999375,8.57499999954689,9.424999999998363
60.0,46,5.653999999999377,-0.8500000004514732,5.666999999999375,8.57499999954689,9.424999999998363
40.0,42,5.653999999999377,-0.8500000004514732,5.666999999999375,8.57499999954689,9.424999999998363
40.0,43,5.653999999999377,-0.8500000004514732,5.665999999999376,7.849999999547435,8.699999999998909
40.0,44,5.653999999999377,-0.8500000004514732,5.666999999999375,8.57499999954689,9.424999999998363
40.0,45,5.653999999999377,-0.8500000004514732,5.665999999999376,7.849999999547435,8.699999999998909
40.0,46,5.653999999999377,-0.8500000004514732,5.665999999999376,7.849999999547435,8.699999999998909
20.0,42,5.653999999999377,-0.8500000004514732,5.666999999999375,8.57499999954689,9.424999999998363
20.0,43,5.653999999999377,-0.8500000004514732,5.658999999999376,2.7749999995476173,3.6249999999990905
20.0,44,5.653999999999377,-0.8500000004514732,5.658999999999376,2.7749999995476173,3.6249999999990905
20.0,45,5.653999999999377,-0.8500000004514732,5.665999999999376,7.849999999547435,8.699999999998909
20.0,46,5.653999999999377,-0.8500000004514732,5.662999999999376,5.6749999995472535,6.524999999998727
