D_m,k,dt_s,n_peaks,t_peak_s,t_onset_s,est_s,fwhm_s,C_v,peak_amp,a_f0,a_onset,a_peak,stft_E_0_20,rfft_E_0_20,stft_E_20_60,rfft_E_20_60,stft_E_60_150,rfft_E_60_150,stft_E_total,rfft_E_total,dt_shift_s,d_est_s,equiv_depth_bias_m,stft_E_0_20_dB_vs_k0,rfft_E_0_20_dB_vs_k0,stft_E_20_60_dB_vs_k0,rfft_E_20_60_dB_vs_k0,stft_E_60_150_dB_vs_k0,rfft_E_60_150_dB_vs_k0
5,0.0,0.001000000000000334,2,6.6530000000000005,6.6530000000000005,0.0009999999999994458,0.0030000000000001137,1.0,59160.11591000349,1409.3451691244002,1450.5572262515477,1450.5572262515477,110891982.48187259,423584971.64937645,159205178.36659318,425736461.4339279,517037566.5728076,1340394083.27043,1357028486.0636313,3730484283.442668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.01,0.001000000000000334,1,6.667,6.654,0.01100000000000012,0.012000000000000455,0.0,10491.761406677277,1408.1617511468005,1450.3006720905553,1446.9737074289749,98106883.85172738,381563661.3139245,50848754.477176234,122591322.47963831,2716626.2061076197,6114686.39556237,151681192.81077164,510293804.6249247,0.013999999999999346,0.010000000000000675,10.149999999999526,-0.5320066615623965,-0.45373535965349926,-4.956768701600775,-5.406811160277854,-22.794922130951257,-23.408583138713865
5,0.02,0.001000000000000334,1,6.682,6.657,0.015000000000000568,0.019000000000000128,0.0,7081.520581332904,1407.0624620360018,1449.5315538271168,1443.1538190777894,82838277.95170255,330454925.6058148,17260118.943947114,34930324.93732768,209849.212277948,385407.1968476235,100314422.70289409,365787879.1388815,0.028999999999999915,0.014000000000001123,21.024999999999938,-1.2666908551512446,-1.078283137518262,-9.649134054293615,-10.859382204844168,-33.916147556044685,-35.41312681984386
5,0.05,0.001000000000000334,1,6.726,6.6690000000000005,0.02200000000000024,0.027000000000000135,0.0,4504.544294940844,1397.1514529504725,1446.463221026636,1432.0642682500873,44927458.45274537,198443770.08561108,8207113.318828418,17288164.679573346,190858.67775049643,468323.8960976412,53330611.42501752,216214915.4709991,0.07299999999999951,0.021000000000000796,52.92499999999964,-3.923882964442357,-3.2930307411554454,-12.87766759715874,-13.913919553440238,-34.328101881675046,-34.56686184013459
5,0.1,0.001000000000000334,1,6.795,6.69,0.028999999999999915,0.02400000000000002,0.0,3054.0778829535247,1358.7204070330652,1441.1247803163444,1415.0129421915444,17016292.10594438,86701341.06119873,5060101.438433921,11280226.646152018,151625.9403139191,345095.43204314046,22228695.153945886,98328657.3455094,0.14199999999999946,0.02800000000000047,102.9499999999996,-8.140352155174885,-6.889147283767937,-14.977979665478463,-15.768230204126647,-35.32748591744549,-35.89293291453773
5,0.2,0.001000000000000334,1,6.923,6.728,0.10099999999999998,0.024999999999999467,0.0,1170.7399034552066,1250.1432100929424,1431.564245810056,1384.4335640722607,2542667.5801388384,17021357.603109114,717614.9448517046,1593596.6291769403,17907.76118209323,38137.57445100616,3278191.6534134774,18653126.384373862,0.2699999999999996,0.10000000000000053,195.7499999999997,-16.39610562006467,-13.959463474578833,-23.46065715026758,-24.267624436921867,-44.60480804922216,-45.458794336493796
10,0.0,0.001000000000000334,3,6.6530000000000005,6.6530000000000005,0.0009999999999994458,0.0030000000000001137,1.0,59154.388017139594,1409.3868524159873,1450.5572262515477,1450.5572262515477,78287855.74374095,314750644.6252378,159917156.5175565,437605020.9260285,540186621.3985662,1395986652.8097186,1383169913.1658406,3782533412.444376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.01,0.001000000000000334,3,6.667,6.654,0.008000000000000007,0.010999999999999233,0.40510298213649065,10247.157519555376,1408.3170402019805,1450.3006720905553,1446.9737074289749,63808255.35803281,272325136.755684,46484094.63739071,116294030.609826,8609354.256767917,20906631.065288357,118958961.04675734,409676799.3377663,0.013999999999999346,0.007000000000000561,10.149999999999526,-0.8881752784082868,-0.6287889784010531,-5.365906823013878,-5.755248733968827,-17.975732454870812,-18.245972105589303
10,0.02,0.001000000000000334,1,6.68,6.657,0.01499999999999968,0.017000000000000348,0.0,6359.39795790457,1407.2498804280237,1449.5315538271168,1443.661971830986,51529271.590651736,234797582.78134477,14304869.625706963,31593299.508763157,697208.3391654671,1604830.1734370613,66554973.36526039,268060691.91457134,0.026999999999999247,0.014000000000000234,19.574999999999456,-1.8164039477987524,-1.27273006659431,-10.484111549926203,-11.414873116185065,-28.891812509985368,-29.39452184766051
10,0.05,0.001000000000000334,1,6.724,6.6690000000000005,0.026999999999999247,0.028999999999999915,0.0,3629.444123868193,1397.0414701005302,1446.463221026636,1432.56464011181,29118398.000901826,155153035.34384453,2145791.3792918385,3988281.9776739837,84052.4989742964,219726.85553845495,31354559.988676064,159379082.17574385,0.07099999999999973,0.0259999999999998,51.4749999999998,-4.295269203334955,-3.0720635189366274,-18.72307562818474,-20.402964402826335,-38.07993193948979,-38.029981252988385
10,0.1,0.001000000000000334,1,6.797,6.689,0.036000000000000476,0.030999999999999694,0.0,2538.2075797279435,1359.0596479025935,1441.3780980840218,1414.5247541831982,15803974.497254014,85112722.95608485,2797679.0415840023,5603538.979853951,91661.27792521985,209491.20346129374,18693613.79886634,90926652.1424288,0.14399999999999924,0.03500000000000103,104.39999999999945,-6.94928077976158,-5.6797214339871385,-17.570971695970737,-18.926198989366718,-37.703579161671506,-38.23715474313582
10,0.2,0.001000000000000334,1,6.924,6.726,0.10300000000000065,0.024999999999999467,0.0,1148.0991015238262,1251.6682504506753,1432.0642682500873,1384.1998649561106,2528008.5902758474,17029830.887732446,690289.3970103296,1531188.1709674378,18984.590917956557,40591.62790541987,3237284.110887717,18601645.10075821,0.2709999999999999,0.1020000000000012,196.47499999999994,-14.909158528054947,-12.667562929522706,-23.64863856415433,-24.560537309464717,-44.54142580622883,-45.36444797153767
20,0.0,0.001000000000000334,3,6.654,6.6530000000000005,0.0009999999999994458,0.0030000000000001137,1.0,59161.348612701055,1409.44556014804,1450.5572262515477,1450.3006720905553,59935235.526625454,229145897.3349585,218241095.5210559,591224855.099608,503246753.1220896,1309403925.0563912,1402269587.1022062,3800761330.9647055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.01,0.001000000000000334,3,6.667,6.654,0.008000000000000007,0.009999999999999787,1.0,10250.233991494755,1408.4846416222308,1450.3006720905553,1446.9737074289749,41902000.84970707,177608577.5708778,74038913.71900171,193656362.86066678,10119512.489279166,24895070.28834126,126198930.14798297,396549666.73156995,0.0129999999999999,0.007000000000000561,9.424999999999928,-1.5544745498313006,-1.1064814985751072,-4.694764947779374,-4.847209125838995,-16.96621390828816,-17.209602816315495
20,0.02,0.001000000000000334,2,6.68,6.658,0.012000000000000455,0.014000000000000234,0.9710440258891054,6210.3691459433185,1407.4317049059362,1449.2753623188405,1443.661971830986,32492891.748925768,150454389.84080616,22338141.35943848,55404928.86348133,1207356.2427200275,2890811.844064864,56057740.787008025,208806786.92374784,0.0259999999999998,0.011000000000001009,18.849999999999856,-2.658938526175634,-1.8270722220555147,-9.89889498144404,-10.282042819098944,-26.199455495591355,-26.56053813009306
20,0.05,0.001000000000000334,2,6.721,6.6690000000000005,0.027000000000000135,0.025000000000000355,0.14046105723606536,2999.4708338705395,1396.987433049582,1446.463221026636,1433.3158538717007,13674193.407032123,94570690.6917735,2338801.0166659416,5469043.0633774055,44905.59746464471,114713.79262851771,16058853.544005558,100157238.3161974,0.06700000000000017,0.02600000000000069,48.575000000000124,-6.417804980638799,-3.843555250786457,-19.699432590910803,-20.33841340482138,-40.494805025524116,-40.57457999927789
20,0.1,0.001000000000000334,1,6.792,6.689,0.051000000000000156,0.03799999999999937,0.0,1852.5564873842693,1359.695579522978,1441.3780980840218,1415.7458563535913,7064309.854725318,61092127.06867898,447623.7450333869,951722.0923674335,26607.62112588419,69923.11826988915,7538673.215194375,62114196.61871568,0.1379999999999999,0.05000000000000071,100.04999999999993,-9.286124762985802,-5.741268395745948,-26.880234166169284,-27.93242532789825,-42.767749336957394,-42.72452850703381
20,0.2,0.001000000000000334,1,6.931,6.7250000000000005,0.10099999999999998,0.030999999999999694,0.0,1120.2310186533662,1254.00922686742,1432.3144104803491,1382.5661777103355,3106753.8386899643,19980422.90470953,628781.3395993054,1337228.51118119,19446.89556689589,42731.89166869808,3754987.4344341657,21360432.166043837,0.27700000000000014,0.10000000000000053,200.8250000000001,-12.853753726877152,-10.59507409727865,-25.40436888416192,-26.455470558607015,-44.12930699590759,-44.86321519698593
50,0.0,0.001000000000000334,2,6.654,6.6530000000000005,0.0009999999999994458,0.0030000000000001137,1.0,59256.8890278058,1409.618223688067,1450.5572262515477,1450.3006720905553,88385184.3088446,270117832.9085953,223941826.72277504,627001037.7771792,480622247.5257983,1212480944.714452,1417055824.4177861,3797822931.690609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.01,0.001000000000000334,3,6.667,6.654,0.008000000000000007,0.009999999999999787,1.0,10169.570804944855,1408.8514458952131,1450.3006720905553,1446.9737074289749,63358150.962072216,200506916.32601082,73968123.0260484,189972791.27847534,9048846.279504063,18888273.49130367,146439557.59372857,409546559.60551745,0.0129999999999999,0.007000000000000561,9.424999999999928,-1.4457697752923802,-1.2942389896431301,-4.810906180573921,-5.185768557710844,-17.252106594489778,-18.074826595293775
50,0.02,0.001000000000000334,3,6.68,6.657,0.012000000000000455,0.013000000000000789,1.0,6142.842276073575,1407.951371059982,1449.5315538271168,1443.661971830986,42096549.98543501,140436960.64685228,28213459.48704201,68238704.3595852,2569197.7221404654,4966283.503850745,72921691.83074409,213757392.6224267,0.0259999999999998,0.011000000000001009,18.849999999999856,-3.221329671146851,-2.840718349773559,-8.996788746030443,-9.632374873128631,-22.720063416975247,-23.87643414041376
50,0.05,0.001000000000000334,3,6.718,6.668,0.025000000000000355,0.019999999999999574,1.0,2463.319813543565,1398.3205064894287,1446.7184191954834,1434.067855893669,8440772.619604757,43396797.028502695,3110008.8445423413,7709076.311154218,401959.0133214092,860346.166850773,11960819.71012352,51987935.059447214,0.06400000000000006,0.02400000000000091,46.40000000000004,-10.199972706337547,-7.940955799386936,-18.57373592366866,-19.10265914933779,-30.7762209848999,-31.490016938702624
50,0.1,0.001000000000000334,2,6.782,6.688,0.05999999999999961,0.0519999999999996,0.8908364688212533,1047.0122761669302,1363.962822590804,1441.6315049226441,1418.1943964026289,2018347.4659754215,22598300.57277529,262723.78243881225,482264.11892663356,2725.393946646959,7355.804721035876,2283806.190905725,23088016.35228427,0.1280000000000001,0.05900000000000016,92.80000000000008,-16.413835381517114,-10.77477476063061,-29.306358284544093,-31.139833085978964,-52.46374583017114,-52.170447307364014
