D_m,k,stft_E_0_20,rfft_E_0_20,stft_E_20_60,rfft_E_20_60,stft_E_60_150,rfft_E_60_150,stft_E_total,rfft_E_total,stft_E_0_20_dB_vs_k0,rfft_E_0_20_dB_vs_k0,stft_E_20_60_dB_vs_k0,rfft_E_20_60_dB_vs_k0,stft_E_60_150_dB_vs_k0,rfft_E_60_150_dB_vs_k0
5,0.0,110891982.48187259,423584971.64937645,159205178.36659318,425736461.4339279,517037566.5728076,1340394083.27043,1357028486.0636313,3730484283.442668,0.0,0.0,0.0,0.0,0.0,0.0
5,0.01,98106883.85172738,381563661.3139245,50848754.477176234,122591322.47963831,2716626.2061076197,6114686.39556237,151681192.81077164,510293804.6249247,-0.5320066615623965,-0.45373535965349926,-4.956768701600775,-5.406811160277854,-22.794922130951257,-23.408583138713865
5,0.02,82838277.95170255,330454925.6058148,17260118.943947114,34930324.93732768,209849.212277948,385407.1968476235,100314422.70289409,365787879.1388815,-1.2666908551512446,-1.078283137518262,-9.649134054293615,-10.859382204844168,-33.916147556044685,-35.41312681984386
5,0.05,44927458.45274537,198443770.08561108,8207113.318828418,17288164.679573346,190858.67775049643,468323.8960976412,53330611.42501752,216214915.4709991,-3.923882964442357,-3.2930307411554454,-12.87766759715874,-13.913919553440238,-34.328101881675046,-34.56686184013459
5,0.1,17016292.10594438,86701341.06119873,5060101.438433921,11280226.646152018,151625.9403139191,345095.43204314046,22228695.153945886,98328657.3455094,-8.140352155174885,-6.889147283767937,-14.977979665478463,-15.768230204126647,-35.32748591744549,-35.89293291453773
5,0.2,2542667.5801388384,17021357.603109114,717614.9448517046,1593596.6291769403,17907.76118209323,38137.57445100616,3278191.6534134774,18653126.384373862,-16.39610562006467,-13.959463474578833,-23.46065715026758,-24.267624436921867,-44.60480804922216,-45.458794336493796
10,0.0,78287855.74374095,314750644.6252378,159917156.5175565,437605020.9260285,540186621.3985662,1395986652.8097186,1383169913.1658406,3782533412.444376,0.0,0.0,0.0,0.0,0.0,0.0
10,0.01,63808255.35803281,272325136.755684,46484094.63739071,116294030.609826,8609354.256767917,20906631.065288357,118958961.04675734,409676799.3377663,-0.8881752784082868,-0.6287889784010531,-5.365906823013878,-5.755248733968827,-17.975732454870812,-18.245972105589303
10,0.02,51529271.590651736,234797582.78134477,14304869.625706963,31593299.508763157,697208.3391654671,1604830.1734370613,66554973.36526039,268060691.91457134,-1.8164039477987524,-1.27273006659431,-10.484111549926203,-11.414873116185065,-28.891812509985368,-29.39452184766051
10,0.05,29118398.000901826,155153035.34384453,2145791.3792918385,3988281.9776739837,84052.4989742964,219726.85553845495,31354559.988676064,159379082.17574385,-4.295269203334955,-3.0720635189366274,-18.72307562818474,-20.402964402826335,-38.07993193948979,-38.029981252988385
