friction,case,n_frac,min_spacing_m,old_n_matched,old_match_tol_m,old_n_detected,old_mean_error_m,new_n_detected,new_tp,new_fp,new_precision,new_recall,new_f1,new_exact_count,new_separation_success,new_n_likely_merged,new_median_error_m,new_tolerance_m
brunone_D10,dual,2,10.0,2,80.0,10,9.704176334105796,2,1,1,0.5,0.5,0.5,True,False,0,8.0,10.0
brunone_D10,hept,7,10.0,4,80.0,4,8.404872389790398,4,4,0,1.0,0.5714285714285714,0.7272727272727273,False,False,0,2.5000000000004547,10.0
brunone_D10,hex,6,10.0,4,80.0,4,8.404872389790398,4,4,0,1.0,0.6666666666666666,0.8,False,False,0,2.5000000000004547,10.0
brunone_D10,oct,8,10.0,4,80.0,4,8.404872389790398,4,4,0,1.0,0.5,0.6666666666666666,False,False,0,2.5000000000004547,10.0
brunone_D10,quad,4,10.0,3,80.0,3,9.054524361948097,3,3,0,1.0,0.75,0.8571428571428571,False,False,0,2.0,10.0
brunone_D10,quint,5,10.0,4,80.0,4,8.404872389790398,4,4,0,1.0,0.8,0.888888888888889,False,False,0,2.5000000000004547,10.0
brunone_D10,single,1,,1,135.0,3,11.803944315544868,1,0,1,0.0,0.0,0.0,True,False,0,,10.0
brunone_D10,triple,3,10.0,3,80.0,3,9.054524361948097,3,2,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,True,False,0,7.712499999999636,10.0
brunone_D100,dual,2,100.0,2,80.0,4,12.5580046403702,2,0,2,0.0,0.0,0.0,True,False,0,,10.0
brunone_D100,hept,7,100.0,4,80.0,4,12.97853828306188,4,0,4,0.0,0.0,0.0,False,False,0,,10.0
brunone_D100,hex,6,100.0,4,80.0,4,12.97853828306188,4,0,4,0.0,0.0,0.0,False,False,0,,10.0
brunone_D100,oct,8,100.0,4,80.0,4,12.97853828306188,4,0,4,0.0,0.0,0.0,False,False,0,,10.0
brunone_D100,quad,4,100.0,4,80.0,4,13.341067285381996,4,0,4,0.0,0.0,0.0,True,False,0,,10.0
brunone_D100,quint,5,100.0,4,80.0,4,13.341067285381996,4,0,4,0.0,0.0,0.0,False,False,0,,10.0
brunone_D100,single,1,,1,135.0,3,11.803944315544868,1,0,1,0.0,0.0,0.0,True,False,0,,10.0
brunone_D100,triple,3,100.0,3,80.0,3,13.070378963649395,3,0,3,0.0,0.0,0.0,True,False,0,,10.0
brunone_D20,dual,2,20.0,2,80.0,8,10.1421113689089,2,1,1,0.5,0.5,0.5,True,False,0,8.875,10.0
brunone_D20,hept,7,20.0,4,80.0,4,9.174883990718627,4,3,1,0.75,0.42857142857142855,0.5454545454545454,False,False,0,8.450000000000728,10.0
brunone_D20,hex,6,20.0,4,80.0,4,9.356148491878912,4,3,1,0.75,0.5,0.6,False,False,0,8.75,10.0
brunone_D20,oct,8,20.0,4,80.0,4,9.174883990718627,4,3,1,0.75,0.375,0.5,False,False,0,8.450000000000728,10.0
brunone_D20,quad,4,20.0,4,80.0,4,9.718677494199028,4,3,1,0.75,0.75,0.75,True,False,0,8.875,10.0
brunone_D20,quint,5,20.0,4,80.0,4,9.356148491878912,4,3,1,0.75,0.6,0.6666666666666665,False,False,0,8.75,10.0
brunone_D20,single,1,,1,135.0,3,11.803944315544868,1,0,1,0.0,0.0,0.0,True,False,0,,10.0
brunone_D20,triple,3,20.0,3,80.0,4,9.930394431554001,3,2,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,True,False,0,9.025000000000091,10.0
brunone_D5,dual,2,5.0,1,80.0,6,11.803944315544868,1,1,0,1.0,0.5,0.6666666666666666,False,False,0,6.475000000000364,10.0
brunone_D5,hept,7,5.0,1,80.0,1,10.353828306263495,1,1,0,1.0,0.14285714285714285,0.25,False,False,3,0.024999999999636202,10.0
brunone_D5,hex,6,5.0,1,80.0,1,10.353828306263495,1,1,0,1.0,0.16666666666666666,0.2857142857142857,False,False,3,0.024999999999636202,10.0
brunone_D5,oct,8,5.0,1,80.0,1,10.353828306263495,1,1,0,1.0,0.125,0.2222222222222222,False,False,3,0.024999999999636202,10.0
brunone_D5,quad,4,5.0,1,80.0,1,11.078886310903727,1,1,0,1.0,0.25,0.4,False,False,2,0.75,10.0
brunone_D5,quint,5,5.0,1,80.0,1,11.078886310903727,1,1,0,1.0,0.2,0.33333333333333337,False,False,3,0.75,10.0
brunone_D5,single,1,,1,135.0,3,11.803944315544868,1,0,1,0.0,0.0,0.0,True,False,0,,10.0
brunone_D5,triple,3,5.0,1,80.0,1,11.078886310903727,1,1,0,1.0,0.3333333333333333,0.5,False,False,1,0.75,10.0
brunone_D50,dual,2,50.0,2,80.0,6,11.455916473316847,2,0,2,0.0,0.0,0.0,True,False,0,,10.0
brunone_D50,hept,7,50.0,4,80.0,4,11.122389791182286,4,0,4,0.0,0.0,0.0,False,False,0,,10.0
brunone_D50,hex,6,50.0,4,80.0,4,11.122389791182286,4,0,4,0.0,0.0,0.0,False,False,0,,10.0
brunone_D50,oct,8,50.0,4,80.0,4,11.122389791182286,4,0,4,0.0,0.0,0.0,False,False,0,,10.0
brunone_D50,quad,4,50.0,4,80.0,4,11.303654292342344,4,0,4,0.0,0.0,0.0,True,False,0,,10.0
brunone_D50,quint,5,50.0,4,80.0,4,11.303654292342344,4,0,4,0.0,0.0,0.0,False,False,0,,10.0
brunone_D50,single,1,,1,135.0,3,11.803944315544868,1,0,1,0.0,0.0,0.0,True,False,0,,10.0
brunone_D50,triple,3,50.0,3,80.0,4,11.349574632636177,3,0,3,0.0,0.0,0.0,True,False,0,,10.0
steady,dual,2,50.0,2,80.0,3,0.3770301624131207,2,2,0,1.0,1.0,1.0,True,True,0,0.47499999999990905,10.0
steady,hept,7,50.0,3,80.0,3,0.40603248259897856,3,3,0,1.0,0.42857142857142855,0.6,False,False,0,0.8000000000001819,10.0
steady,hex,6,50.0,3,80.0,3,0.40603248259897856,3,3,0,1.0,0.5,0.6666666666666666,False,False,0,0.8000000000001819,10.0
steady,oct,8,50.0,3,80.0,3,0.40603248259897856,3,3,0,1.0,0.375,0.5454545454545454,False,False,0,0.8000000000001819,10.0
steady,quad,4,50.0,3,80.0,3,0.40603248259897856,3,3,0,1.0,0.75,0.8571428571428571,False,False,0,0.8000000000001819,10.0
steady,quint,5,50.0,3,80.0,3,0.40603248259897856,3,3,0,1.0,0.6,0.7499999999999999,False,False,0,0.8000000000001819,10.0
steady,single,1,,1,135.0,2,0.5220417633418037,1,1,0,1.0,1.0,1.0,True,True,0,0.8500000000003638,10.0
steady,triple,3,50.0,3,80.0,3,0.40603248259897856,3,3,0,1.0,1.0,1.0,True,True,0,0.8000000000001819,10.0
steady_D10,dual,2,10.0,2,80.0,3,0.44663573085927055,2,2,0,1.0,1.0,1.0,True,True,0,0.775000000000091,10.0
steady_D10,hept,7,10.0,4,80.0,4,0.2958236658939768,4,4,0,1.0,0.5714285714285714,0.7272727272727273,False,False,0,0.6249999999995453,10.0
steady_D10,hex,6,10.0,4,80.0,4,0.2958236658939768,4,4,0,1.0,0.6666666666666666,0.8,False,False,0,0.6249999999995453,10.0
steady_D10,oct,8,10.0,4,80.0,4,0.2958236658939768,4,4,0,1.0,0.5,0.6666666666666666,False,False,0,0.6249999999995453,10.0
steady_D10,quad,4,10.0,3,80.0,3,0.3712296983764342,3,3,0,1.0,0.75,0.8571428571428571,False,False,0,0.6999999999998181,10.0
steady_D10,quint,5,10.0,4,80.0,4,0.2958236658939768,4,4,0,1.0,0.8,0.888888888888889,False,False,0,0.6249999999995453,10.0
steady_D10,single,1,,1,135.0,2,0.5220417633418037,1,1,0,1.0,1.0,1.0,True,True,0,0.8500000000003638,10.0
steady_D10,triple,3,10.0,3,80.0,3,0.3712296983764342,3,3,0,1.0,1.0,1.0,True,True,0,0.6999999999998181,10.0
steady_D100,dual,2,100.0,2,80.0,3,0.49303944315624904,2,2,0,1.0,1.0,1.0,True,True,0,0.8250000000002728,10.0
steady_D100,hept,7,100.0,3,80.0,3,0.4640371229706943,3,3,0,1.0,0.42857142857142855,0.6,False,False,0,0.8000000000001819,10.0
steady_D100,hex,6,100.0,3,80.0,3,0.4640371229706943,3,3,0,1.0,0.5,0.6666666666666666,False,False,0,0.8000000000001819,10.0
steady_D100,oct,8,100.0,3,80.0,3,0.4640371229706943,3,3,0,1.0,0.375,0.5454545454545454,False,False,0,0.8000000000001819,10.0
steady_D100,quad,4,100.0,3,80.0,3,0.4640371229706943,3,3,0,1.0,0.75,0.8571428571428571,False,False,0,0.8000000000001819,10.0
steady_D100,quint,5,100.0,3,80.0,3,0.4640371229706943,3,3,0,1.0,0.6,0.7499999999999999,False,False,0,0.8000000000001819,10.0
steady_D100,single,1,,1,135.0,2,0.5220417633418037,1,1,0,1.0,1.0,1.0,True,True,0,0.8500000000003638,10.0
steady_D100,triple,3,100.0,3,80.0,3,0.4640371229706943,3,3,0,1.0,1.0,1.0,True,True,0,0.8000000000001819,10.0
steady_D20,dual,2,20.0,2,80.0,3,0.3712296983762826,2,2,0,1.0,1.0,1.0,True,True,0,0.6999999999998181,10.0
steady_D20,hept,7,20.0,3,80.0,3,0.2745552977573122,3,3,0,1.0,0.42857142857142855,0.6,False,False,0,0.5499999999992724,10.0
steady_D20,hex,6,20.0,3,80.0,3,0.2745552977573122,3,3,0,1.0,0.5,0.6666666666666666,False,False,0,0.5499999999992724,10.0
steady_D20,oct,8,20.0,4,80.0,4,0.30162412993036014,4,4,0,1.0,0.5,0.6666666666666666,False,False,0,0.3999999999996362,10.0
steady_D20,quad,4,20.0,3,80.0,3,0.2745552977573122,3,3,0,1.0,0.75,0.8571428571428571,False,False,0,0.5499999999992724,10.0
steady_D20,quint,5,20.0,3,80.0,3,0.2745552977573122,3,3,0,1.0,0.6,0.7499999999999999,False,False,0,0.5499999999992724,10.0
steady_D20,single,1,,1,135.0,2,0.5220417633418037,1,1,0,1.0,1.0,1.0,True,True,0,0.8500000000003638,10.0
steady_D20,triple,3,20.0,3,80.0,3,0.2745552977573122,3,3,0,1.0,1.0,1.0,True,True,0,0.5499999999992724,10.0
steady_D5,dual,2,5.0,2,80.0,3,0.4002320185613826,2,2,0,1.0,1.0,1.0,True,True,0,0.45000000000027285,10.0
steady_D5,hept,7,5.0,3,80.0,3,0.6264501160088306,3,3,0,1.0,0.42857142857142855,0.6,False,False,2,0.75,10.0
steady_D5,hex,6,5.0,3,80.0,3,0.39056457849983417,3,3,0,1.0,0.5,0.6666666666666666,False,False,2,0.75,10.0
steady_D5,oct,8,5.0,3,80.0,3,0.6264501160088306,3,3,0,1.0,0.375,0.5454545454545454,False,False,2,0.75,10.0
steady_D5,quad,4,5.0,3,80.0,3,0.39056457849983417,2,2,0,1.0,0.5,0.6666666666666666,False,False,1,0.45000000000027285,10.0
steady_D5,quint,5,5.0,3,80.0,3,0.39056457849983417,2,2,0,1.0,0.4,0.5714285714285715,False,False,1,0.45000000000027285,10.0
steady_D5,single,1,,1,135.0,2,0.5220417633418037,1,1,0,1.0,1.0,1.0,True,True,0,0.8500000000003638,10.0
steady_D5,triple,3,5.0,3,80.0,3,0.39056457849983417,2,2,0,1.0,0.6666666666666666,0.8,False,False,1,0.45000000000027285,10.0
steady_D50,dual,2,50.0,2,80.0,3,0.3770301624131207,2,2,0,1.0,1.0,1.0,True,True,0,0.47499999999990905,10.0
steady_D50,hept,7,50.0,3,80.0,3,0.40603248259897856,3,3,0,1.0,0.42857142857142855,0.6,False,False,0,0.8000000000001819,10.0
steady_D50,hex,6,50.0,3,80.0,3,0.40603248259897856,3,3,0,1.0,0.5,0.6666666666666666,False,False,0,0.8000000000001819,10.0
steady_D50,oct,8,50.0,3,80.0,3,0.40603248259897856,3,3,0,1.0,0.375,0.5454545454545454,False,False,0,0.8000000000001819,10.0
steady_D50,quad,4,50.0,3,80.0,3,0.40603248259897856,3,3,0,1.0,0.75,0.8571428571428571,False,False,0,0.8000000000001819,10.0
steady_D50,quint,5,50.0,3,80.0,3,0.40603248259897856,3,3,0,1.0,0.6,0.7499999999999999,False,False,0,0.8000000000001819,10.0
steady_D50,single,1,,1,135.0,2,0.5220417633418037,1,1,0,1.0,1.0,1.0,True,True,0,0.8500000000003638,10.0
steady_D50,triple,3,50.0,3,80.0,3,0.40603248259897856,3,3,0,1.0,1.0,1.0,True,True,0,0.8000000000001819,10.0
