工况编号,矩阵类别,裂缝数_n,首缝深度_X1_m,簇间距_D_m,摩阻模型,Brunone系数_k,流体粘度_mPas,顺应系数_Cf_m2,滤失系数_Kleak,波速_a_ms,仿真时长_s,主要研究目的
Case_A_D5_k0.0,Matrix_A_固定k扫描,4,4100,5,Steady_Darcy,0.0,1.0,1e-05,0.0001,1450,100,间距5m下固定k=0.0的波形退化与倒谱峰衰减规律
Case_A_D5_k0.01,Matrix_A_固定k扫描,4,4100,5,Brunone_Constant,0.01,1.0,1e-05,0.0001,1450,100,间距5m下固定k=0.01的波形退化与倒谱峰衰减规律
Case_A_D5_k0.02,Matrix_A_固定k扫描,4,4100,5,Brunone_Constant,0.02,1.0,1e-05,0.0001,1450,100,间距5m下固定k=0.02的波形退化与倒谱峰衰减规律
Case_A_D5_k0.05,Matrix_A_固定k扫描,4,4100,5,Brunone_Constant,0.05,1.0,1e-05,0.0001,1450,100,间距5m下固定k=0.05的波形退化与倒谱峰衰减规律
Case_A_D5_k0.1,Matrix_A_固定k扫描,4,4100,5,Brunone_Constant,0.1,1.0,1e-05,0.0001,1450,100,间距5m下固定k=0.1的波形退化与倒谱峰衰减规律
Case_A_D5_k0.2,Matrix_A_固定k扫描,4,4100,5,Brunone_Constant,0.2,1.0,1e-05,0.0001,1450,100,间距5m下固定k=0.2的波形退化与倒谱峰衰减规律
Case_A_D10_k0.0,Matrix_A_固定k扫描,4,4100,10,Steady_Darcy,0.0,1.0,1e-05,0.0001,1450,100,间距10m下固定k=0.0的波形退化与倒谱峰衰减规律
Case_A_D10_k0.01,Matrix_A_固定k扫描,4,4100,10,Brunone_Constant,0.01,1.0,1e-05,0.0001,1450,100,间距10m下固定k=0.01的波形退化与倒谱峰衰减规律
Case_A_D10_k0.02,Matrix_A_固定k扫描,4,4100,10,Brunone_Constant,0.02,1.0,1e-05,0.0001,1450,100,间距10m下固定k=0.02的波形退化与倒谱峰衰减规律
Case_A_D10_k0.05,Matrix_A_固定k扫描,4,4100,10,Brunone_Constant,0.05,1.0,1e-05,0.0001,1450,100,间距10m下固定k=0.05的波形退化与倒谱峰衰减规律
Case_A_D10_k0.1,Matrix_A_固定k扫描,4,4100,10,Brunone_Constant,0.1,1.0,1e-05,0.0001,1450,100,间距10m下固定k=0.1的波形退化与倒谱峰衰减规律
Case_A_D10_k0.2,Matrix_A_固定k扫描,4,4100,10,Brunone_Constant,0.2,1.0,1e-05,0.0001,1450,100,间距10m下固定k=0.2的波形退化与倒谱峰衰减规律
Case_A_D20_k0.0,Matrix_A_固定k扫描,4,4100,20,Steady_Darcy,0.0,1.0,1e-05,0.0001,1450,100,间距20m下固定k=0.0的波形退化与倒谱峰衰减规律
Case_A_D20_k0.01,Matrix_A_固定k扫描,4,4100,20,Brunone_Constant,0.01,1.0,1e-05,0.0001,1450,100,间距20m下固定k=0.01的波形退化与倒谱峰衰减规律
