sample_id,n_frac,fracture_positions_m,fracture_Cf_m2,fracture_kleak_m2p5_s,fracture_Kp_s2_m5,fracture_alpha_ss,fracture_Q_ss_m3_s,fracture_types,pump_closure_tc_s,ramp_type,wavespeed_m_s,H_ext_m,initial_velocity_m_s,H0_realized_m,perf_num_holes,perf_diameter_m,perf_cd,has_fault,fault_cluster_idx,steady_mass_residual,pre_shut_drift_m
0,1,4691.2905,0.012,0.0005,473897.47,1.0,0.01697128,Type V: 沟通天然断层/强微裂缝簇,0.009131998755037785,cosine,1465.221435546875,152.63583374023438,1.1072149276733398,1496.086669921875,8,0.008813210527883763,0.6719858733978168,1,0,2.1260769227505853e-14,4.5702108764089644e-11
1,6,4789.9487|4838.649|4861.682|4886.5005|4915.2827|4932.862,0.006497215|0.006779739|0.006262888|0.005155469|0.0060248184|0.006423748,0.00080650725|0.0007330914|0.0006379506|0.0007955471|0.0015|0.000761314,2755783.5|2755783.5|2755783.5|2755783.5|2755783.5|2755783.5,0.16768982|0.16080706|0.151049|0.16542469|0.19242766|0.16260175,0.0029121703|0.0027926418|0.0026231792|0.0028728333|0.0033417782|0.0028238092,Type V: 沟通天然断层/强微裂缝簇|Type V: 沟通天然断层/强微裂缝簇|Type V: 沟通天然断层/强微裂缝簇|Type V: 沟通天然断层/强微裂缝簇|Type V: 沟通天然断层/强微裂缝簇|Type V: 沟通天然断层/强微裂缝簇,0.0619472898542881,linear,1486.7772216796875,52.78348922729492,1.132993459701538,147.8145751953125,4,0.008420292940044606,0.6105534202319879,1,4,3.096576949935051e-14,9.57811607804615e-12
2,5,4663.7783|4696.1465|4718.3047|4729.537|4757.006,0.02724151|0.030794295|0.024706746|0.012|0.029295333,1.5273175e-05|1.8161396e-05|1.8230736e-05|0.0005|1.46549355e-05,343496.25|343496.25|343496.25|343496.25|343496.25,0.027974172|0.03325752|0.033380564|0.87855554|0.026832229,0.00046564802|0.00055359275|0.0005556409|0.014624121|0.00044663966,Type IV: 砂堵闭合/未起裂死簇|Type IV: 砂堵闭合/未起裂死簇|Type IV: 砂堵闭合/未起裂死簇|Type V: 沟通天然断层/强微裂缝簇|Type IV: 砂堵闭合/未起裂死簇,0.04794306308031082,cosine,1462.8106689453125,153.8043975830078,1.0859700441360474,1135.8941650390625,6,0.010497473342403512,0.7417862868389872,1,3,1.2193140919679324e-13,0.0
3,1,4770.489,0.0060891835,0.00062775577,181731.53,1.0,0.017527377,Type V: 沟通天然断层/强微裂缝簇,0.05372079461812973,linear,1435.103271484375,82.28828430175781,1.1434948444366455,977.1309814453125,8,0.01073182478493685,0.7318268565761898,1,0,6.868672162074416e-14,4.388311936054379e-11
4,5,4519.8696|4560.6157|4574.9253|4621.566|4640.7744,0.02961472|0.024249654|0.023975242|0.023609448|0.022653364,0.00024296549|0.0002554802|0.00021759878|0.00025402184|0.00017692243,1504515.9|1504515.9|1504515.9|1504515.9|1504515.9,0.2113701|0.22116555|0.19070677|0.21995223|0.15680535,0.002676736|0.0028007831|0.002415061|0.0027854177|0.0019857422,Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇,0.06985751539468765,cosine,1498.3330078125,77.26596069335938,0.8261888027191162,239.15931701660156,4,0.009555242114563663,0.6416805117741997,0,-1,3.054732167087973e-14,1.3955059330328368e-11
5,4,4827.234|4854.6377|4904.333|4950.0,0.017305197|0.012|0.017592443|0.013640831,2.680761e-05|0.0005|2.2133276e-05|3.0405814e-05,155996.78|155996.78|155996.78|155996.78,0.04704661|0.8607647|0.038837362|0.053351358,0.001026562|0.018781977|0.0008474354|0.0011641323,Type III: 受抑/欠发育弱进液簇|Type V: 沟通天然断层/强微裂缝簇|Type IV: 砂堵闭合/未起裂死簇|Type III: 受抑/欠发育弱进液簇,0.06627067178487778,linear,1476.47119140625,142.64187622070312,1.42355477809906,1701.8914794921875,12,0.009806750533434471,0.6306251610297907,1,1,1.955728263255789e-14,6.730260793119669e-11
6,4,4712.527|4738.43|4760.4683|4790.011,0.020243121|0.017684983|0.014575292|0.016743122,4.1603053e-05|5.4118027e-05|4.397572e-05|6.094462e-05,299645.0|299645.0|299645.0|299645.0,0.20738322|0.26971608|0.21919988|0.30370083,0.0046693804|0.006072849|0.004935441|0.00683804,Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇,0.07235921174287796,cosine,1496.02197265625,138.39422607421875,1.4689363241195679,12838.2255859375,12,0.008175970550920996,0.6546319613433746,0,-1,1.0493532719190249e-13,1.2769305612891912e-09
7,1,4863.0166,0.012,0.0010509653,173875.55,1.0,0.022273222,Type V: 沟通天然断层/强微裂缝簇,0.0707811564207077,cosine,1403.5235595703125,90.26521301269531,1.4531162977218628,722.8963623046875,12,0.009247541879705857,0.6717497395557315,1,0,1.048316097015771e-13,2.034994395216927e-11
8,5,4651.346|4682.5767|4716.8174|4761.527|4795.6514,0.012|0.023482189|0.02335295|0.021916546|0.02358097,0.0005|1.0471757e-05|9.69611e-06|9.420673e-06|9.411445e-06,693995.4|693995.4|693995.4|693995.4|693995.4,0.92208993|0.020919297|0.019369887|0.018819673|0.018801237,0.015008987|0.00034050632|0.00031528636|0.00030633045|0.00030603036,Type V: 沟通天然断层/强微裂缝簇|Type IV: 砂堵闭合/未起裂死簇|Type IV: 砂堵闭合/未起裂死簇|Type IV: 砂堵闭合/未起裂死簇|Type IV: 砂堵闭合/未起裂死簇,0.033614639192819595,linear,1461.4591064453125,81.31781005859375,1.0619288682937622,1188.8302001953125,8,0.00824678419960775,0.6341953773248148,1,0,6.351823499681566e-14,2.319211489520967e-11
9,5,4612.0586|4645.7046|4682.933|4708.678|4731.398,0.020417243|0.022348287|0.025690299|0.020474985|0.025215909,0.00013851316|0.00014282376|0.00015341939|0.00015071146|0.00013344463,641056.1|641056.1|641056.1|641056.1|641056.1,0.1928265|0.19870614|0.2132058|0.20948793|0.18577364,0.0041748313|0.0043021296|0.0046160575|0.0045355633|0.004022132,Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇,0.04683122783899307,cosine,1457.5216064453125,109.46644592285156,1.4125034809112549,1116.27734375,8,0.008486874464431911,0.623055960936335,0,-1,5.047758679143158e-14,2.955857780762017e-11
