sample_id,n_frac,x1_m,T1_s,a_hat_m_s,a_hat_ok,Y0_m2_s,omega_star_rad_s,fracture_positions_m,mask_design,y_active,alpha_ss,Y_eq_m2_s,log10_Y_over_Y0,fracture_Q_ss_m3_s,fracture_Cf_m2,fracture_kleak_m2p5_s,fracture_Kp_s2_m5
0,1,4691.29052734375,6.838136672973633,1372.09619140625,1,0.00010958904749713838,0.9188446998596191,4691.2905,1,1,1.0,0.00012550114,0.058880888,0.01697128,0.01252255,9.8543904e-05,234723.14
1,6,4789.94873046875,6.461100101470947,1482.7037353515625,1,0.00010141386155737564,0.9724636673927307,4789.9487|4801.7007|4817.8726|4855.1943|4894.985|4943.6855,1|1|1|1|1|1,1|1|1|1|1|1,0.17479983|0.11026358|0.28510892|0.080832325|0.11034106|0.23865427,0.00030963228|0.0003465236|0.00033966242|0.0004122314|0.00036999743|0.000260633,0.48474905|0.5336356|0.5249503|0.60904384|0.56210154|0.4099323,0.0028382563|0.0017903695|0.004629365|0.0013124889|0.0017916276|0.0038750723,0.010063531|0.005785823|0.016030638|0.0034346862|0.0058714803|0.010444785,0.00014827472|9.3287745e-05|0.00024264448|6.830989e-05|9.336066e-05|0.00020332685,568370.25|802834.75|317827.06|909772.06|751062.8|494730.47
2,2,4663.7783203125,6.392146110534668,1459.221435546875,1,0.00010304585157427937,0.9829539060592651,4663.7783|4700.514,1|1,1|1,0.53433746|0.4656625,0.00060682895|0.0005203455,0.77003586|0.7032614,0.009792824|0.008534215,0.017429646|0.010441405,9.549054e-05|8.321867e-05,84032.92|112303.445
3,4,4770.48876953125,6.665977478027344,1431.2945556640625,1,0.00010505643876967952,0.942575216293335,4770.489|4796.8296|4840.966|4860.3237,1|1|1|1,1|1|1|1,0.38104177|0.19207236|0.32262424|0.10426163,0.00040399353|0.00037447104|0.00031049797|0.00049672107,0.5849519|0.5519957|0.47063625|0.67469,0.005822866|0.0029351418|0.0049301623|0.0015932677,0.015237479|0.0057983617|0.008563658|0.0025403267,0.00015262201|7.684789e-05|0.00012926363|4.168229e-05,212379.72|452755.62|326138.78|603282.8
4,4,4519.86962890625,6.070179462432861,1489.20458984375,1,0.00010097115591634065,1.0350905656814575,4519.8696|4535.962|4573.815|4601.661,1|1|1|1,0|1|1|1,0.0081279725|0.20425813|0.5051204|0.28249353,0.0|0.00034580275|0.0004461706|0.00035876827,-6.004197|0.53463125|0.6453037|0.5506168,0.00012596247|0.0031654707|0.007828055|0.0043779165,0.0007597657|0.0075511583|0.02546005|0.012845061,3.3928297e-06|8.536031e-05|0.00021143352|0.00011813212,98458820.0|455877.2|143116.55|318105.03
5,3,4892.625,6.653039455413818,1470.7939453125,1,0.00010223506251350045,0.9444082379341125,4892.625|4920.856|4938.9507,1|1|1,1|1|1,0.4845102|0.2585184|0.2569714,0.00022633329|0.00032999308|0.00028413103,0.34514877|0.5089051|0.44391897,0.008952332|0.0047766636|0.0047480795,0.015203542|0.011121349|0.009180892,0.00014348196|7.643517e-05|7.598881e-05,246704.4|316891.34|370224.56
6,6,4712.52685546875,6.342782974243164,1485.9493408203125,1,0.00010119235957972705,0.9906038641929626,4712.527|4742.2866|4765.481|4781.262|4795.398|4828.904,1|1|1|1|1|1,1|0|1|1|1|0,0.29502964|0.011426796|0.39341462|0.094500825|0.20141709|0.0042110127,5.8879203e-05|0.0|0.0001758347|0.00012074142|7.782069e-05|0.0,-0.23518504|-6.005148|0.23995712|0.07670892|-0.11405208|-6.005148,0.006546243|0.00025354262|0.008729251|0.0020968246|0.0044691283|9.343575e-05,0.015330388|0.00095026114|0.035665423|0.0056498097|0.010800297|0.00091692863,0.00016108295|6.1455526e-06|0.00021285929|5.0887054e-05|0.00010910559|2.2622419e-06,1297206.8|73674470.0|325744.8|1974005.4|1437569.1|77701810.0
7,3,4863.0166015625,6.957053184509277,1398.010498046875,1,0.00010755764378700405,0.9031388759613037,4863.0166|4877.3594|4914.249,1|1|1,1|1|1,0.609227|0.17900448|0.21176854,0.00024114698|0.00026793493|0.00026395207,0.3506407|0.3963882|0.38988397,0.011780998|0.00346152|0.004095099,0.023000479|0.005050206|0.00859178,0.00021870984|6.406398e-05|7.58073e-05,175973.42|537234.6|462035.97
8,5,4651.34619140625,6.376095771789551,1458.9949951171875,1,0.00010306183685315773,0.9854282736778259,4651.346|4671.5845|4719.0264|4735.611|4747.407,1|1|1|1|1,1|1|1|1|1,0.32113808|0.06776356|0.12975195|0.15494332|0.3264031,0.000257176|0.0005422568|0.00040102267|0.0003176449|0.00038194316,0.39713272|0.72110724|0.59007114|0.48884416|0.56890094,0.0073572877|0.0015524662|0.002972623|0.0035497583|0.00747791,0.021321619|0.003930059|0.011633981|0.008292415|0.024265114,0.00013337747|2.8085531e-05|5.3801108e-05|6.426722e-05|0.00013547919,264214.38|582053.1|418917.22|442762.03|175016.84
9,5,4612.05859375,6.337521553039551,1455.47705078125,1,0.00010331095108995214,0.9914262294769287,4612.0586|4627.8145|4638.372|4657.558|4672.831,1|1|1|1|1,1|1|1|1|1,0.09221336|0.1668734|0.088830434|0.15969972|0.4923831,0.0017553187|0.001499817|0.0016978809|0.001443045|0.0013298373,1.2302097|1.1618919|1.215761|1.1451335|1.1096522,0.0012512916|0.002264393|0.001205387|0.0021670496|0.0066814055,0.0070064142|0.011906172|0.0056509604|0.010254684|0.029567216,5.9577298e-05|0.00010787616|5.740007e-05|0.00010325013|0.0003189919,212025.64|144803.92|219293.78|156595.67|56156.754
