sample_id,n_frac,fracture_positions_m,fracture_Cf_m2,fracture_kleak_m2p5_s,fracture_Kp_s2_m5,fracture_alpha_ss,fracture_Q_ss_m3_s,fracture_types,pump_closure_tc_s,ramp_type,wavespeed_m_s,H_ext_m,initial_velocity_m_s,H0_realized_m,perf_num_holes,perf_diameter_m,perf_cd,has_fault,fault_cluster_idx,steady_mass_residual,pre_shut_drift_m
0,1,4691.2905,0.01252255,9.8543904e-05,234723.14,1.0,0.01697128,Type I: 优势发育主进液簇,0.009131998755037785,cosine,1465.221435546875,152.63583374023438,1.1072149276733398,29935.00390625,8,0.008813210527883763,0.6719858733978168,0,-1,4.4974705112454244e-15,1.4297256711870432e-09
1,6,4789.9487|4801.7007|4817.8726|4855.1943|4894.985|4943.6855,0.010063531|0.005785823|0.016030638|0.0034346862|0.0058714803|0.010444785,0.00014827472|9.3287745e-05|0.00024264448|6.830989e-05|9.336066e-05|0.00020332685,568370.25|802834.75|317827.06|909772.06|751062.8|494730.47,0.17479983|0.11026358|0.28510892|0.080832325|0.11034106|0.23865427,0.0028382563|0.0017903695|0.004629365|0.0013124889|0.0017916276|0.0038750723,Type II: 均衡/正常发育簇|Type III: 受抑/欠发育弱进液簇|Type II: 均衡/正常发育簇|Type III: 受抑/欠发育弱进液簇|Type III: 受抑/欠发育弱进液簇|Type II: 均衡/正常发育簇,0.0619472898542881,linear,1486.7772216796875,52.78348922729492,1.0593217611312866,475.1266784667969,6,0.008420292940044606,0.6105534202319879,0,-1,9.572550407508859e-14,4.376943252282217e-11
2,2,4663.7783|4700.514,0.017429646|0.010441405,9.549054e-05|8.321867e-05,84032.92|112303.445,0.53433746|0.4656625,0.009792824|0.008534215,Type I: 优势发育主进液簇|Type I: 优势发育主进液簇,0.04794306308031082,cosine,1462.8106689453125,153.8043975830078,1.1956652402877808,10742.4013671875,8,0.010497473342403512,0.7417862868389872,0,-1,7.875193959406765e-14,3.637978807091713e-12
3,4,4770.489|4796.8296|4840.966|4860.3237,0.015237479|0.0057983617|0.008563658|0.0025403267,0.00015262201|7.684789e-05|0.00012926363|4.168229e-05,212379.72|452755.62|326138.78|603282.8,0.38104177|0.19207236|0.32262424|0.10426163,0.005822866|0.0029351418|0.0049301623|0.0015932677,Type I: 优势发育主进液簇|Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇|Type III: 受抑/欠发育弱进液簇,0.05372079461812973,cosine,1435.103271484375,82.28828430175781,0.9969687461853027,1590.466064453125,4,0.01073182478493685,0.7318268565761898,0,-1,2.7584956074997585e-14,1.425632945029065e-10
4,4,4519.8696|4535.962|4573.815|4601.661,0.0007597657|0.0075511583|0.02546005|0.012845061,3.3928297e-06|8.536031e-05|0.00021143352|0.00011813212,98458820.0|455877.2|143116.55|318105.03,0.0081279725|0.20425813|0.5051204|0.28249353,0.00012596247|0.0031654707|0.007828055|0.0043779165,Type IV: 砂堵闭合/未起裂死簇|Type II: 均衡/正常发育簇|Type I: 优势发育主进液簇|Type II: 均衡/正常发育簇,0.06985751539468765,linear,1498.3330078125,77.26596069335938,1.0110584497451782,1501.3865966796875,6,0.009555242114563663,0.6416805117741997,0,-1,2.0932105197378134e-14,4.729372449219227e-11
5,3,4892.625|4920.856|4938.9507,0.015203542|0.011121349|0.009180892,0.00014348196|7.643517e-05|7.598881e-05,246704.4|316891.34|370224.56,0.4845102|0.2585184|0.2569714,0.008952332|0.0047766636|0.0047480795,Type I: 优势发育主进液簇|Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇,0.06627067178487778,cosine,1476.47119140625,142.64187622070312,1.2054537534713745,4123.00146484375,6,0.009806750533434471,0.6306251610297907,0,-1,5.708218728424364e-14,3.2741809263825417e-10
6,6,4712.527|4742.2866|4765.481|4781.262|4795.398|4828.904,0.015330388|0.00095026114|0.035665423|0.0056498097|0.010800297|0.00091692863,0.00016108295|6.1455526e-06|0.00021285929|5.0887054e-05|0.00010910559|2.2622419e-06,1297206.8|73674470.0|325744.8|1974005.4|1437569.1|77701810.0,0.29502964|0.011426796|0.39341462|0.094500825|0.20141709|0.0042110127,0.006546243|0.00025354262|0.008729251|0.0020968246|0.0044691283|9.343575e-05,Type II: 均衡/正常发育簇|Type IV: 砂堵闭合/未起裂死簇|Type I: 优势发育主进液簇|Type III: 受抑/欠发育弱进液簇|Type II: 均衡/正常发育簇|Type IV: 砂堵闭合/未起裂死簇,0.07235921174287796,cosine,1496.02197265625,138.39422607421875,1.4475840330123901,1939.0325927734375,4,0.008175970550920996,0.6546319613433746,0,-1,1.673083194339217e-14,4.18367562815547e-11
7,3,4863.0166|4877.3594|4914.249,0.023000479|0.005050206|0.00859178,0.00021870984|6.406398e-05|7.58073e-05,175973.42|537234.6|462035.97,0.609227|0.17900448|0.21176854,0.011780998|0.00346152|0.004095099,Type I: 优势发育主进液簇|Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇,0.0707811564207077,linear,1403.5235595703125,90.26521301269531,1.2615958452224731,3089.77294921875,6,0.009247541879705857,0.6717497395557315,0,-1,5.5259636656031924e-14,2.651177055668086e-10
8,5,4651.346|4671.5845|4719.0264|4735.611|4747.407,0.021321619|0.003930059|0.011633981|0.008292415|0.024265114,0.00013337747|2.8085531e-05|5.3801108e-05|6.426722e-05|0.00013547919,264214.38|582053.1|418917.22|442762.03|175016.84,0.32113808|0.06776356|0.12975195|0.15494332|0.3264031,0.0073572877|0.0015524662|0.002972623|0.0035497583|0.00747791,Type II: 均衡/正常发育簇|Type III: 受抑/欠发育弱进液簇|Type III: 受抑/欠发育弱进液簇|Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇,0.033614639192819595,linear,1461.4591064453125,81.31781005859375,1.494662880897522,3236.71728515625,8,0.00824678419960775,0.6341953773248148,0,-1,3.3467755747740996e-14,2.2373569663614035e-10
9,5,4612.0586|4627.8145|4638.372|4657.558|4672.831,0.0070064142|0.011906172|0.0056509604|0.010254684|0.029567216,5.9577298e-05|0.00010787616|5.740007e-05|0.00010325013|0.0003189919,212025.64|144803.92|219293.78|156595.67|56156.754,0.09221336|0.1668734|0.088830434|0.15969972|0.4923831,0.0012512916|0.002264393|0.001205387|0.0021670496|0.0066814055,Type III: 受抑/欠发育弱进液簇|Type II: 均衡/正常发育簇|Type III: 受抑/欠发育弱进液簇|Type II: 均衡/正常发育簇|Type I: 优势发育主进液簇,0.04683122783899307,linear,1457.5216064453125,109.46644592285156,0.8852827548980713,585.6644287109375,12,0.008486874464431911,0.623055960936335,0,-1,3.7073497077171405e-14,2.4556356947869062e-11
