friction_model,x1,spacing_m,n_total,a,b,beta,r2
brunone,2000.0,10.0,3,,2.2388449500525265e-06,3.6652624476164957,-0.6014430551016248
brunone,2000.0,10.0,4,,0.026464887170382853,4.999999999999999,-0.11957161125201066
brunone,2000.0,10.0,5,,0.023372822872476245,2.853242062778815,0.45889647331179073
brunone,2000.0,10.0,6,,0.022962576416560743,1.6649085055351378,0.7590841549393792
brunone,2000.0,10.0,7,,0.023979084644389092,1.0765740609238426,0.8899107824622903
brunone,2000.0,10.0,8,,0.015105991317144279,1.1763285185157515,0.8921825734560339
brunone,2000.0,20.0,3,,0.024443882632019465,1.2445676019707017,1.0
brunone,2000.0,20.0,4,,0.026594970673458326,0.8459320251248954,0.9999793427570377
brunone,2000.0,20.0,5,,0.03633244310910598,0.5287076338962086,0.9859514947958982
brunone,2000.0,20.0,6,,0.0457388863783136,0.365146280661328,0.9977022925979275
brunone,2000.0,20.0,7,,0.07040391423155051,0.3020884621750826,0.9990385858233122
brunone,2000.0,20.0,8,,0.09333641932961449,0.2565751640026416,0.99948067529243
brunone,2000.0,30.0,3,,0.04878450143096145,0.2847605832596795,1.0
brunone,2000.0,30.0,4,,0.056097546078286355,0.30845704967933807,0.9999767424083559
brunone,2000.0,30.0,5,,0.042055680128244455,0.2855481544136792,0.9994076819316977
brunone,2000.0,30.0,6,,0.07292490266834867,0.25222035705778584,0.9983565385077005
brunone,2000.0,30.0,7,,0.10665511475788761,0.2264063236332766,0.9985325852420974
brunone,2000.0,30.0,8,,0.15673650150380844,0.19983072909783067,0.9988210432573976
brunone,2000.0,40.0,3,,0.04096970445313605,0.3261353687390331,1.0
brunone,2000.0,40.0,4,,0.0414440332879108,0.36912765648564755,0.9999560755192818
brunone,2000.0,40.0,5,,0.047293355592124345,0.2897852957420909,0.9991002920589945
brunone,2000.0,40.0,6,,0.05255325307326921,0.310981348958692,0.9999357972964115
brunone,2000.0,40.0,7,,0.06220317923346353,0.2725533707615749,0.9976771084913832
brunone,2000.0,40.0,8,,0.045086127312389236,0.31596738413165265,0.9971761152094442
brunone,2000.0,50.0,3,,0.031484848723996386,0.358383485407745,1.0
brunone,2000.0,50.0,4,,0.02956113761199033,0.3876402474029467,0.9995698259356569
brunone,2000.0,50.0,5,,0.033736459270254406,0.352361032474976,0.9992061589564818
brunone,2000.0,50.0,6,,0.029184602219167622,0.38672435279989464,0.9998979530551697
brunone,2000.0,50.0,7,,0.03188715411564045,0.375011821322018,0.9993508711515743
brunone,2000.0,50.0,8,,0.03166188676127261,0.3098464211364998,0.9965468040046774
brunone,2000.0,60.0,3,,0.02311555109426833,0.4339831251766433,1.0
brunone,2000.0,60.0,4,,0.027634738066811278,0.405314308751059,0.9997893933245828
brunone,2000.0,60.0,5,,0.027078383820703465,0.3720056782376592,0.9992753358842741
brunone,2000.0,60.0,6,,0.02059331027650346,0.44515972587649394,0.9991763249151502
brunone,2000.0,60.0,7,,0.020985708454590104,0.42314129510650395,0.9946662642339374
brunone,2000.0,60.0,8,,0.015356991161821962,0.4809196091361109,0.9864593822694772
brunone,2000.0,70.0,3,,0.019836425311928117,0.500526018879715,1.0
brunone,2000.0,70.0,4,,0.0224360905699104,0.3734074587754705,0.9996092734987387
brunone,2000.0,70.0,5,,0.02192472335294724,0.3764317444376273,0.9986242456448433
brunone,2000.0,70.0,6,,0.017066047816806488,0.494432242509932,0.99911333218527
brunone,2000.0,70.0,7,,0.012238558152358076,0.5867041933376559,0.9834603406112395
brunone,2000.0,70.0,8,,0.010782193528962829,0.5902421370233722,0.97986185880998
brunone,2000.0,80.0,3,,0.02480839652024793,0.40701972932601305,1.0
brunone,2000.0,80.0,4,,0.016177180433813797,0.42683330524399293,0.9996170991256202
brunone,2000.0,80.0,5,,0.021894460518187844,0.3261570594871768,0.9996662657923456
brunone,2000.0,80.0,6,,0.015018936619770315,0.4803790096942521,0.9995123286645761
brunone,2000.0,80.0,7,,0.010545732257350655,0.5910822546429855,0.9824606893744803
brunone,2000.0,80.0,8,,0.010776347569749569,0.5206172197706316,0.9891663840532687
brunone,2000.0,90.0,3,,0.0173020172020665,0.4535031959358706,1.0
brunone,2000.0,90.0,4,,0.015109226120555609,0.41997142041975766,0.9995508992200132
brunone,2000.0,90.0,5,,0.01632877833591035,0.4023563740777307,0.9981993282232041
brunone,2000.0,90.0,6,,0.00857636993770482,0.8054858171741953,0.986088750955018
brunone,2000.0,90.0,7,,0.008881515856407653,0.6315631025273732,0.9876031819304468
brunone,2000.0,90.0,8,,0.009009380093615313,0.5374105924827846,0.9928241849480103
brunone,2000.0,100.0,3,,0.015960862556089514,0.45201962978070875,1.0
brunone,2000.0,100.0,4,,0.01547478818171865,0.3639369314619434,0.9997915447027423
brunone,2000.0,100.0,5,,0.012295612036464378,0.4207706415624947,0.9989311982401423
brunone,2000.0,100.0,6,,0.008812956035308614,0.7044768134096717,0.9963557268813558
brunone,2000.0,100.0,7,,0.009004454661660596,0.5672155571769502,0.9931916359966129
brunone,2000.0,100.0,8,,0.013302847209414275,0.3647519641423796,0.998837577349518
brunone,2500.0,10.0,3,,3.763828683847267e-05,2.9260596304299398,-1.4845322650224344
brunone,2500.0,10.0,4,,0.023038838502886776,4.999999999999999,-0.4643336597250869
brunone,2500.0,10.0,5,,0.01933250115729908,4.999999999999999,-0.23939525991788813
brunone,2500.0,10.0,6,,0.017897319270366266,4.999999999999997,-0.007294599675391922
brunone,2500.0,10.0,7,,0.015607097332231987,3.5595056102334004,0.1908316851815175
brunone,2500.0,10.0,8,,0.0125442284270156,2.9988710671194307,0.17862822970958392
brunone,2500.0,20.0,3,,0.028968186169421574,2.0050100197764418,1.0
brunone,2500.0,20.0,4,,0.030695872123398273,0.9715745617852789,0.997671172755376
brunone,2500.0,20.0,5,,0.04098211082871799,0.5773759950485482,0.9938605415686874
brunone,2500.0,20.0,6,,0.041117085521879294,0.5208533907284001,0.9993279618067794
brunone,2500.0,20.0,7,,0.03676387662268614,0.46975232070753364,0.9956177880748596
brunone,2500.0,20.0,8,,0.02931392773150918,0.5066693126744495,0.9710915237172247
brunone,2500.0,30.0,3,,0.021254198567194477,2.3472055642912584,1.0
brunone,2500.0,30.0,4,,0.024948122472850925,0.9551090300098538,0.9965832361686714
brunone,2500.0,30.0,5,,0.04714208658762764,0.4829432660935281,0.9955935051645389
brunone,2500.0,30.0,6,,0.03416943810591684,0.49075171020915276,0.9815304638862943
brunone,2500.0,30.0,7,,0.03765509017450502,0.43345058482526166,0.9832104395203548
brunone,2500.0,30.0,8,,0.029266679104297547,0.49694274465083277,0.9741523303804864
brunone,2500.0,40.0,3,,0.9999999999999987,0.12898775036499924,0.9995321741358351
brunone,2500.0,40.0,4,,0.2952916949191636,0.19307263743508743,0.9999394225958071
brunone,2500.0,40.0,5,,0.07273922836320461,0.34683197223583306,0.9976801924870861
brunone,2500.0,40.0,6,,0.030824837064183944,0.5188871280911809,0.9968777659288303
brunone,2500.0,40.0,7,,0.02368756932058383,0.507336009188161,0.9910486547342235
brunone,2500.0,40.0,8,,0.018989532658564956,0.5644280645204656,0.9897090522309812
brunone,2500.0,50.0,3,,0.6536083227536119,0.10000000000000002,0.999261366353941
brunone,2500.0,50.0,4,,0.9999999999889206,0.1212749215186377,0.9933135479634502
brunone,2500.0,50.0,5,,0.10147266117413692,0.2634839303682022,0.9976991776417605
brunone,2500.0,50.0,6,,0.023114279286612575,0.5480881876491692,0.9990550287476876
brunone,2500.0,50.0,7,,0.014394587040839877,0.6858096885267795,0.9779057165545524
brunone,2500.0,50.0,8,,0.013286879454379447,0.6523287709666854,0.980882842189135
brunone,2500.0,60.0,3,,0.018020565411856947,0.41245904963687846,1.0
brunone,2500.0,60.0,4,,0.999999999951429,0.10535391029726117,0.9953744758387763
brunone,2500.0,60.0,5,,0.051496490580376204,0.2918074833593779,0.9994083477353182
brunone,2500.0,60.0,6,,0.021340619486511756,0.44622929644080095,0.9988104634256629
brunone,2500.0,60.0,7,,0.013154593545778984,0.5757719338944491,0.9944646153163847
brunone,2500.0,60.0,8,,0.011475116175644444,0.5978830151393216,0.9935895134755989
brunone,2500.0,70.0,3,,0.010977901873815208,0.6862529220355357,1.0
brunone,2500.0,70.0,4,,0.11530634644932142,0.17291051833845017,0.9896132355119195
brunone,2500.0,70.0,5,,0.023236343013055955,0.4025819829949363,0.9994623479318906
brunone,2500.0,70.0,6,,0.025331984445250297,0.3385034079543129,0.9967914245061374
brunone,2500.0,70.0,7,,0.01452239920962403,0.4340850292414534,0.993538129432439
brunone,2500.0,70.0,8,,0.014180535127223153,0.3482691875051996,0.9913718983130001
brunone,2500.0,80.0,3,,0.009508947403663095,0.6641235968443833,1.0
brunone,2500.0,80.0,4,,0.036334300189039326,0.23543992029577385,0.9947191224667145
brunone,2500.0,80.0,5,,0.020396672168745293,0.36624702735923,0.9995122318255174
brunone,2500.0,80.0,6,,0.016826130705036864,0.4035885390258881,0.9980360946392111
brunone,2500.0,80.0,7,,0.011563907946692542,0.4761799107059957,0.996252152962309
brunone,2500.0,80.0,8,,0.008792532568827637,0.5668811601737068,0.9977408332883967
brunone,2500.0,90.0,3,,0.008386521510992421,0.7378696908683705,1.0
brunone,2500.0,90.0,4,,0.017040725392214007,0.3674781853278199,0.9979044227276821
brunone,2500.0,90.0,5,,0.014327825673502301,0.4296908691161305,0.9998856400161299
brunone,2500.0,90.0,6,,0.012504880101417802,0.43207775682557936,0.9966195311904538
brunone,2500.0,90.0,7,,0.010354929981087082,0.45080253143514326,0.9934487589159658
brunone,2500.0,90.0,8,,0.008426116844126258,0.5064867718667082,0.99401374070591
brunone,2500.0,100.0,3,,0.0074925393838418015,0.7198568978025497,1.0
brunone,2500.0,100.0,4,,0.013458575769498321,0.4344079252387508,0.999672172402058
brunone,2500.0,100.0,5,,0.011115655412369708,0.4659238837674925,0.9997467850981387
brunone,2500.0,100.0,6,,0.009578067178997462,0.4752475789203578,0.9983206983658172
brunone,2500.0,100.0,7,,0.00840849918231048,0.4637013785076647,0.9904098969755318
brunone,2500.0,100.0,8,,0.00841405291313716,0.4426158230943896,0.9852605661026267
brunone,3000.0,10.0,3,,2.829772674337364e-06,3.6653250137768665,-0.5120453144625949
brunone,3000.0,10.0,4,,0.01682193698950145,4.999999999999999,-0.35150234710446804
brunone,3000.0,10.0,5,,0.019590591529501253,2.511086425010741,0.5612376211110599
brunone,3000.0,10.0,6,,0.01763714557962186,1.7376506383436643,0.8837740182492431
brunone,3000.0,10.0,7,,0.016804886469680078,1.4510889081405345,0.8474284629491933
brunone,3000.0,10.0,8,,0.01641206884311953,1.5168541417675487,0.8703999177059101
brunone,3000.0,20.0,3,,0.03855281201035053,0.7813053391799244,1.0
brunone,3000.0,20.0,4,,0.032620677739210006,0.6131716124394243,0.9980492733779655
brunone,3000.0,20.0,5,,0.02673222488201915,0.6998127494876365,0.9795818107264974
brunone,3000.0,20.0,6,,0.019621115499567198,0.6688316378741055,0.9560144791770122
brunone,3000.0,20.0,7,,0.01912866360823604,0.60958133803937,0.9469669477034385
brunone,3000.0,20.0,8,,0.01781335019906411,0.6610538042374282,0.8762404863808287
brunone,3000.0,30.0,3,,0.03872531640457963,0.581520996947947,1.0
brunone,3000.0,30.0,4,,0.024013307586330513,0.7203418143216169,0.9884926097054674
brunone,3000.0,30.0,5,,0.02284496949427094,0.5864002627000714,0.976303106410396
brunone,3000.0,30.0,6,,0.013563836583717959,0.6328127007895223,0.9338190232805286
brunone,3000.0,30.0,7,,0.015626577174106527,0.5279113736576424,0.9920358133440906
brunone,3000.0,30.0,8,,0.013102690541091918,0.5485054863742845,0.9712417243398568
brunone,3000.0,40.0,3,,0.9139874780230137,0.10000000000066475,0.9999885006741208
brunone,3000.0,40.0,4,,0.042020606275996436,0.31631684709399976,0.9998531600263127
brunone,3000.0,40.0,5,,0.021987525678087295,0.3783326815360397,0.9998422369160089
brunone,3000.0,40.0,6,,0.011290181394429177,0.5086053298488991,0.9982151185611936
brunone,3000.0,40.0,7,,0.014213098262836043,0.420821207026413,0.9966024608453911
brunone,3000.0,40.0,8,,0.01396900953469251,0.4040674900519821,0.9949535216848151
brunone,3000.0,50.0,3,,0.0443000549218536,0.38211952599018306,1.0
brunone,3000.0,50.0,4,,0.02595172599019458,0.42661906556888574,0.9990467875007456
brunone,3000.0,50.0,5,,0.013437473779020676,0.4762514241831055,0.9950330290658781
brunone,3000.0,50.0,6,,0.009923547300665537,0.49686310446894444,0.9946942112369256
brunone,3000.0,50.0,7,,0.01068765336531812,0.44097275977523304,0.9973636641510729
brunone,3000.0,50.0,8,,0.008520331125890413,0.6202099410827587,0.9812729147751281
brunone,3000.0,60.0,3,,0.027793651022647727,0.45981711732496333,1.0
brunone,3000.0,60.0,4,,0.015076317710392103,0.6381011285672702,0.999243371641143
brunone,3000.0,60.0,5,,0.01078391953439079,0.6135993383223365,0.9977670223597515
brunone,3000.0,60.0,6,,0.007721336677088049,0.6720911850478587,0.9955450318028355
brunone,3000.0,60.0,7,,0.007126867348334004,0.6734626357422787,0.9948101422983
brunone,3000.0,60.0,8,,0.005828986566269618,0.8228235756838187,0.9845937304094833
brunone,3000.0,70.0,3,,0.024057538274207913,0.45695605447242965,1.0
brunone,3000.0,70.0,4,,0.0167825286285185,0.5076668465810898,0.9989930624963144
brunone,3000.0,70.0,5,,0.008982617617828731,0.6049600274196533,0.9996534407491058
brunone,3000.0,70.0,6,,0.0063259430749084645,0.7161915648614355,0.9985867010122255
brunone,3000.0,70.0,7,,0.004972131423823644,0.877441296758734,0.9988599566045469
brunone,3000.0,70.0,8,,0.005230015960703192,0.8716160206319692,0.9728599928328923
brunone,3000.0,80.0,3,,0.019897407601354045,0.4964785907409099,1.0
brunone,3000.0,80.0,4,,0.012882261822347446,0.5346566752901485,0.9999961339328165
brunone,3000.0,80.0,5,,0.007627305156638712,0.6067576082162522,0.9998325433959003
brunone,3000.0,80.0,6,,0.005337113083473461,0.7303088883237662,0.9978818338726843
brunone,3000.0,80.0,7,,0.004232607081143381,0.861989663197987,0.9938860382303546
brunone,3000.0,80.0,8,,0.004736357788732185,0.7184672254068503,0.9936595546050525
brunone,3000.0,90.0,3,,0.018631379510124984,0.4489728767217527,1.0
brunone,3000.0,90.0,4,,0.011757777163368085,0.5333133499786042,0.9999307972417978
brunone,3000.0,90.0,5,,0.007523252633936329,0.5899337341419256,0.9998895203440898
brunone,3000.0,90.0,6,,0.004858697193116908,0.7214262673119202,0.9988489959491745
brunone,3000.0,90.0,7,,0.004246336100053637,0.9003475802152018,0.9927367850314601
brunone,3000.0,90.0,8,,0.004869073091430326,0.6473654117990887,0.9977840255868227
brunone,3000.0,100.0,3,,0.015336544322107045,0.45407196243365394,1.0
brunone,3000.0,100.0,4,,0.011087461279465622,0.4366425502479299,0.9999996368650947
brunone,3000.0,100.0,5,,0.007690736643158154,0.5097449962215284,0.9999508747862044
brunone,3000.0,100.0,6,,0.0045207462932390875,0.8245401270234587,0.9978273489660874
brunone,3000.0,100.0,7,,0.004354901170236659,0.7608100487339547,0.9986353717141465
brunone,3000.0,100.0,8,,0.005762889942703603,0.4942921375772897,0.9944728045154823
brunone,3500.0,10.0,3,,1.1957527084833022e-06,3.6648473556553167,-0.7590267540274935
brunone,3500.0,10.0,4,,0.021347855787323514,4.999999999999999,-0.2918882712521145
brunone,3500.0,10.0,5,,0.019712522499960094,3.9359451055906964,0.003850598700130492
brunone,3500.0,10.0,6,,0.01769966176499121,3.480240369562611,0.2037523621108469
brunone,3500.0,10.0,7,,0.016408031064549366,3.528799720714218,0.42093823622767046
brunone,3500.0,10.0,8,,0.014992228101319123,2.4628784086135025,0.6116409498906796
brunone,3500.0,20.0,3,,0.024341246107773377,1.2109016470641811,1.0
brunone,3500.0,20.0,4,,0.03146818683664015,0.6869323392540843,0.9967897422084085
brunone,3500.0,20.0,5,,0.02922302427420285,0.6305361634073815,0.9913263797824847
brunone,3500.0,20.0,6,,0.022287839379888923,0.7124675033711918,0.973605595264253
brunone,3500.0,20.0,7,,0.02389570381216746,0.5545022412975187,0.9587960248456222
brunone,3500.0,20.0,8,,0.02470465783944183,0.4756505328923052,0.975302569710153
brunone,3500.0,30.0,3,,0.0318396016499392,0.547101297039633,1.0
brunone,3500.0,30.0,4,,0.03100965023684222,0.5216875759278924,0.9949679272481879
brunone,3500.0,30.0,5,,0.025674315721276056,0.5766170424117332,0.9695301073798089
brunone,3500.0,30.0,6,,0.023480275652079594,0.5284428788967607,0.9762377765179389
brunone,3500.0,30.0,7,,0.020061620206648586,0.5478142763133895,0.9770852013887639
brunone,3500.0,30.0,8,,0.017436972178570737,0.54909357381806,0.9500535815638724
brunone,3500.0,40.0,3,,0.041220426114449524,0.34057434809136256,1.0
brunone,3500.0,40.0,4,,0.04673897087247205,0.3523880924625874,0.9998827352710907
brunone,3500.0,40.0,5,,0.03919608046589999,0.4081324938601219,0.9992768894844911
brunone,3500.0,40.0,6,,0.028597473232574278,0.3873116991182909,0.9991934644911877
brunone,3500.0,40.0,7,,0.027420250587121036,0.3200272970829198,0.998168792434621
brunone,3500.0,40.0,8,,0.032762347088499254,0.3055385281617846,0.9979141310144004
brunone,3500.0,50.0,3,,0.030746084211584337,0.38714622223987577,1.0
brunone,3500.0,50.0,4,,0.03215226267631569,0.4027510977453867,0.9995941720754429
brunone,3500.0,50.0,5,,0.02567388206348753,0.44667844701578663,0.998869812340722
brunone,3500.0,50.0,6,,0.025311491553999026,0.40753198649855327,0.9991795552544708
brunone,3500.0,50.0,7,,0.022885344628774038,0.37551219233445204,0.9790511700131285
brunone,3500.0,50.0,8,,0.021438939691848773,0.38265732939623986,0.9981222456974542
brunone,3500.0,60.0,3,,0.025489270384949834,0.4507164252016113,1.0
brunone,3500.0,60.0,4,,0.03045843845593181,0.3859927450461703,0.9999943023114758
brunone,3500.0,60.0,5,,0.022993867175031373,0.39521983366521823,0.9983250027186353
brunone,3500.0,60.0,6,,0.019353480576520303,0.4591374825130231,0.9909560148897572
brunone,3500.0,60.0,7,,0.023736457089780724,0.3924698618399617,0.9998420263798081
brunone,3500.0,60.0,8,,0.013190021750253522,0.4914422493484625,0.9980127336591178
brunone,3500.0,70.0,3,,0.01847347519601823,0.5485450677743664,1.0
brunone,3500.0,70.0,4,,0.023767709335916935,0.41172239596958704,0.999655578982963
brunone,3500.0,70.0,5,,0.018832588007054077,0.41816951281684,0.9992300800287259
brunone,3500.0,70.0,6,,0.017395223924783997,0.4466352401630747,0.9973786841994503
brunone,3500.0,70.0,7,,0.01370799049284504,0.4871876137860101,0.9981669753749595
brunone,3500.0,70.0,8,,0.009838094659143452,0.5220603432996365,0.9984031534087049
brunone,3500.0,80.0,3,,0.01651525067937159,0.5582441231556782,1.0
brunone,3500.0,80.0,4,,0.02187492003288067,0.3603008543219975,0.9999966253908245
brunone,3500.0,80.0,5,,0.01470993875589203,0.4269273743839421,0.9991636064885949
brunone,3500.0,80.0,6,,0.012447724858620331,0.5178770542074026,0.9953613072370631
brunone,3500.0,80.0,7,,0.01096807321699785,0.5239756929458094,0.9996424809555731
brunone,3500.0,80.0,8,,0.008174640216760828,0.6445882425195296,0.9971792114585198
brunone,3500.0,90.0,3,,0.014263996640865534,0.6636726790142358,1.0
brunone,3500.0,90.0,4,,0.014167041664563281,0.4816370959752365,0.9999807432283145
brunone,3500.0,90.0,5,,0.014278997310389212,0.5072989056344225,0.9984474596255422
brunone,3500.0,90.0,6,,0.010783650457734762,0.5028580866305566,0.9996788080724327
brunone,3500.0,90.0,7,,0.008290680992496515,0.5258246157404706,0.9985841298390615
brunone,3500.0,90.0,8,,0.006805535644850797,0.5647140327900919,0.9989976757633804
brunone,3500.0,100.0,3,,0.014839039900856985,0.6219613331790018,1.0
brunone,3500.0,100.0,4,,0.01827669950040504,0.4469608447584648,0.9995437759258253
brunone,3500.0,100.0,5,,0.013565634724053774,0.4795168222096275,0.99950992750559
brunone,3500.0,100.0,6,,0.011543698203655226,0.46007909826292476,0.9995114799776436
brunone,3500.0,100.0,7,,0.00934718903033432,0.4737052289504818,0.9997564446273427
brunone,3500.0,100.0,8,,0.00749970229054573,0.4584176112106962,0.9972156173382535
