friction_model,x1,spacing_m,n_total,n_points,alpha_key,k_dx,r2_dx,k_idx,r2_idx,delta_r2,fit_ok,idx_better
brunone,2000.0,10.0,2,2,alpha_2d,,,,,,False,False
brunone,2000.0,10.0,3,3,alpha_2d,-0.12516952184230756,0.06817501010206639,-0.33171559224220737,-0.10515059853051012,-0.1733256086325765,True,False
brunone,2000.0,10.0,4,4,alpha_2d,-0.032662831553507146,-0.09815004600311061,-0.037692814526201976,-0.16241948694862196,-0.06426944094551135,True,False
brunone,2000.0,10.0,5,5,alpha_2d,0.09242530955895661,0.021719059785512917,0.2820825909628294,0.10346493634674747,0.08174587656123455,True,True
brunone,2000.0,10.0,6,6,alpha_2d,0.191775498860166,0.25600733120628694,0.5063290662860681,0.420401499891495,0.16439416868520806,True,True
brunone,2000.0,10.0,7,7,alpha_2d,0.25671335360281994,0.5176803763199928,0.6314006836462813,0.7052563810487547,0.1875760047287619,True,True
brunone,2000.0,10.0,8,8,alpha_2d,0.1688519937300548,0.5009396719435684,0.40320806802133924,0.6836052761677736,0.1826656042242052,True,True
brunone,2000.0,20.0,2,2,alpha_2d,,,,,,False,False
brunone,2000.0,20.0,3,3,alpha_2d,0.21381164498505867,0.8716658174108376,0.8167423442267576,0.9519215118888982,0.08025569447806058,True,True
brunone,2000.0,20.0,4,4,alpha_2d,0.2978860502592082,0.9197295351869854,1.01647048140545,0.9878387133137196,0.06810917812673423,True,True
brunone,2000.0,20.0,5,5,alpha_2d,0.35539330787658174,0.9469653066111261,1.1099189179090378,0.9922361544603168,0.045270847849190665,True,True
brunone,2000.0,20.0,6,6,alpha_2d,0.35542203857030585,0.9906038671816371,1.0387246089220397,0.9780585989623689,-0.012545268219268157,True,False
brunone,2000.0,20.0,7,7,alpha_2d,0.3831696187111301,0.9975686706425764,1.067514917315366,0.9563440599377877,-0.04122461070478867,True,False
brunone,2000.0,20.0,8,8,alpha_2d,0.38426829887744574,0.9995703734083718,1.0299613830414875,0.9300592859759311,-0.06951108743244072,True,False
brunone,2000.0,30.0,2,2,alpha_2d,,,,,,False,False
brunone,2000.0,30.0,3,3,alpha_2d,0.328072284152132,0.9999349670980274,1.347555445513312,0.9845572939999752,-0.015377673098052269,True,False
brunone,2000.0,30.0,4,4,alpha_2d,0.3557908854573545,0.9993769801471162,1.3039031728188666,0.9756787729419899,-0.023698207205126276,True,False
brunone,2000.0,30.0,5,5,alpha_2d,0.3225469430290146,0.9988362136769307,1.0911194819241186,0.955069446581394,-0.04376676709553662,True,False
brunone,2000.0,30.0,6,6,alpha_2d,0.3585396274217743,0.9979563052494932,1.1409845731609196,0.934840104078046,-0.06311620117144723,True,False
brunone,2000.0,30.0,7,7,alpha_2d,0.37290624831448455,0.9977815843158769,1.1305870604353132,0.9172696897862229,-0.08051189452965402,True,False
brunone,2000.0,30.0,8,8,alpha_2d,0.37733583626118483,0.9972231516920734,1.0992329380694226,0.8965906713959793,-0.10063248029609417,True,False
brunone,2000.0,40.0,2,2,alpha_2d,,,,,,False,False
brunone,2000.0,40.0,3,3,alpha_2d,0.3273416373186953,0.9994267974370632,1.4428731423020331,0.9880572050964409,-0.011369592340622292,True,False
