friction_model,Cf,Kleak,x1,spacing_m,n_total,frac_idx,x_f,delta_x,P_1d,P_2d,alpha_1d,alpha_2d
steady,1e-06,0.0,3000.0,20.0,3,1,3000.290023201856,0.0,0.5168639351708589,0.13033655411367961,1.0,1.0
steady,1e-06,0.0,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.0901702164780947,0.07377311555304655,0.17445639043917288,0.5660201472619999
steady,1e-06,0.0,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.03727428093979304,0.027958758999592662,0.07211623486067245,0.21451203148432954
steady,1e-06,1e-05,3000.0,20.0,3,1,3000.290023201856,0.0,0.5194152143868855,0.13012991286151368,1.0,1.0
steady,1e-06,1e-05,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.09655990678414633,0.07546057695631193,0.18590119062670324,0.5798864788038265
steady,1e-06,1e-05,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.03885473835405733,0.02882919456375624,0.07480477521229566,0.22154164196234208
steady,1e-06,5e-05,3000.0,20.0,3,1,3000.290023201856,0.0,0.5227616291315388,0.1431313114459635,1.0,1.0
steady,1e-06,5e-05,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.1294053791355682,0.0822188741205366,0.24754184684623604,0.5744296848113264
steady,1e-06,5e-05,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.040638422762099766,0.02803437696945227,0.07773796028146168,0.1958647390723875
steady,1e-06,0.0001,3000.0,20.0,3,1,3000.290023201856,0.0,0.5139345502112384,0.1288379180489401,1.0,1.0
steady,1e-06,0.0001,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.1526371851844176,0.07944475777091488,0.29699732217201663,0.6166255941883286
steady,1e-06,0.0001,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.04003281925520566,0.03542653477239632,0.0778947810353503,0.2749697861381094
steady,1e-06,0.0005,3000.0,20.0,3,1,3000.290023201856,0.0,0.5368027305418459,0.21093238752925164,1.0,1.0
steady,1e-06,0.0005,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.1025240959203193,0.14639943483991155,0.19099026530068505,0.6940585869944188
steady,1e-06,0.0005,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.03630289006748187,0.0682609289653327,0.06762799069750991,0.3236152103757249
steady,1e-06,0.001,3000.0,20.0,3,1,3000.290023201856,0.0,0.27081093580776994,0.27069142931710255,1.0,1.0
steady,1e-06,0.001,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.06288605839335124,0.18621571303962434,0.23221388089729775,0.6879261508552648
steady,1e-06,0.001,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.0168298917284066,0.08294187844466896,0.0621462780969561,0.3064074790026188
