friction_model,x1,n_total,spacing_m,frac_idx,x_true,x_extracted,loc_error_m,P_1d,P_2d,alpha_2d,mu_coda,sigma_coda,PSR_dB,tau_s_ms
steady,3000.0,2,10,1,3000.0,3000.290023201856,0.29002320185600183,0.5885029336323006,2.7049944876376397,1.0,-0.012000333439232437,0.012880347496151554,46.483224613606396,13.793103448275861
steady,3000.0,2,10,2,3010.0,3010.440835266821,0.4408352668210682,0.1218323316644852,1.2409665337159574,0.4587685998575673,-0.012000333439232437,0.012880347496151554,39.7602401390866,13.793103448275861
steady,3000.0,2,20,1,3000.0,3000.290023201856,0.29002320185600183,0.5892251592923234,2.7052892211877584,1.0,-0.01173527823776283,0.014004325776476442,45.756626989183886,27.586206896551722
steady,3000.0,2,20,2,3020.0,3020.591647331786,0.5916473317861346,0.1237373863912326,1.2495961880180024,0.4619085376273989,-0.01173527823776283,0.014004325776476442,39.09134050273683,27.586206896551722
steady,3000.0,2,30,1,3000.0,3000.290023201856,0.29002320185600183,0.5896182362929603,2.7133671830728887,1.0,-0.011674585419267103,0.0139717697135698,45.80243489022276,41.37931034482759
steady,3000.0,2,30,2,3030.0,3029.2923433874707,0.7076566125292629,0.124968532427357,1.2631238421447155,0.4655189500428127,-0.011674585419267103,0.0139717697135698,39.20380200484011,41.37931034482759
steady,3000.0,2,40,1,3000.0,3000.290023201856,0.29002320185600183,0.5897099246138711,2.7215481074505834,1.0,-0.010725388145597812,0.019589792140526963,42.88988682755442,55.172413793103445
steady,3000.0,2,40,2,3040.0,3039.443155452436,0.5568445475641965,0.1258223934272715,1.2762520519601206,0.4689434107250276,-0.010725388145597812,0.019589792140526963,36.35082212344054,55.172413793103445
steady,3000.0,2,50,1,3000.0,3000.290023201856,0.29002320185600183,0.5904662973469954,2.7313023922267043,1.0,-0.01097480463657725,0.019167594389424093,43.110874835175636,68.9655172413793
steady,3000.0,2,50,2,3050.0,3049.5939675174013,0.4060324825986754,0.1270165772222911,1.265551749888168,0.4633510201909289,-0.01097480463657725,0.019167594389424093,36.4692448583512,68.9655172413793
steady,3000.0,2,60,1,3000.0,3000.290023201856,0.29002320185600183,0.5914879438001497,2.730955013053874,1.0,-0.010770923914240376,0.02128050900361424,42.200840579846755,82.75862068965517
steady,3000.0,2,60,2,3060.0,3059.7447795823664,0.25522041763360903,0.1258955741684142,1.289473796235444,0.4721695487738913,-0.010770923914240376,0.02128050900361424,35.72086174782675,82.75862068965517
steady,3000.0,2,70,1,3000.0,3000.290023201856,0.29002320185600183,0.5928438468815922,2.737130531752661,1.0,-0.008877177873201327,0.038385710758568885,37.09064331408742,96.55172413793103
steady,3000.0,2,70,2,3070.0,3069.8955916473315,0.10440835266854265,0.1269129991669147,1.2850618181247209,0.4694923399586135,-0.008877177873201327,0.038385710758568885,30.554884301402858,96.55172413793103
steady,3000.0,2,80,1,3000.0,3000.290023201856,0.29002320185600183,0.5941158006662818,2.732206044337336,1.0,-0.008789261073433674,0.038218817015457006,37.112621029438266,110.34482758620689
steady,3000.0,2,80,2,3080.0,3080.046403712297,0.04640371229697848,0.1262496382681033,1.2934821148522977,0.4734204133444175,-0.008789261073433674,0.038218817015457006,30.648485091647597,110.34482758620689
steady,3000.0,2,90,1,3000.0,3000.290023201856,0.29002320185600183,0.5933221495538811,2.7329431263267274,1.0,-0.008628705187576953,0.03821673931261021,37.11491998717824,124.13793103448276
steady,3000.0,2,90,2,3090.0,3090.197215777262,0.19721577726204487,0.1278254759322823,1.2956471235394056,0.4740849200476589,-0.008628705187576953,0.03821673931261021,30.662316319390165,124.13793103448276
