friction_model,x1,n_total,spacing_m,n_frac,A_fit,gamma,R2,RMSE,P_1,P_n,beta_x,gamma_from_beta
steady,3000.0,2,10.0,2,2.7049944876376397,0.7792093357866211,1.0,0.0,2.7049944876376397,1.2409665337159574,0.07792093357866212,0.7792093357866212
steady,3000.0,2,20.0,2,2.7052892211877584,0.7723883780026106,1.0,1.5700924586837752e-16,2.7052892211877584,1.2495961880180024,0.03861941890013053,0.7723883780026106
steady,3000.0,2,30.0,2,2.7133671830728887,0.7646024740864881,1.0,0.0,2.7133671830728887,1.2631238421447155,0.02548674913621627,0.7646024740864881
steady,3000.0,2,40.0,2,2.7215481074505834,0.757273177250702,1.0,0.0,2.7215481074505834,1.2762520519601206,0.01893182943126755,0.757273177250702
steady,3000.0,2,50.0,2,2.7313023922267043,0.7692703691801352,1.0,0.0,2.7313023922267043,1.265551749888168,0.015385407383602705,0.7692703691801352
steady,3000.0,2,60.0,2,2.730955013053874,0.7504171443942994,1.0,0.0,2.730955013053874,1.289473796235444,0.012506952406571657,0.7504171443942994
steady,3000.0,2,70.0,2,2.737130531752661,0.7561032957840329,1.0,1.5700924586837752e-16,2.737130531752661,1.2850618181247209,0.010801475654057613,0.7561032957840329
steady,3000.0,2,80.0,2,2.732206044337336,0.7477714621212834,1.0,0.0,2.732206044337336,1.2934821148522977,0.009347143276516043,0.7477714621212834
steady,3000.0,2,90.0,2,2.7329431263267274,0.7463688171149296,1.0,0.0,2.7329431263267274,1.2956471235394056,0.008292986856832552,0.7463688171149296
steady,3000.0,2,100.0,2,2.7438108528474188,0.7499375786526099,1.0,0.0,2.7438108528474188,1.2961653797972132,0.007499375786526099,0.7499375786526099
steady,3000.0,3,10.0,3,2.5111867066159994,0.5722092342458348,0.98770495020468,0.0775776049949158,2.538948796438972,0.8867735338554146,0.05722092342458348,0.5722092342458348
steady,3000.0,3,20.0,3,2.4562587851552458,0.7932980868297497,0.9994026246541384,0.020059485525351188,2.4510464382512924,0.4771287956397063,0.039664904341487485,0.7932980868297497
steady,3000.0,3,30.0,3,2.5845517003394725,0.828576575993528,0.9999491642877917,0.006252515821460525,2.583012138774629,0.4847510066352768,0.027619219199784266,0.828576575993528
steady,3000.0,3,40.0,3,2.618439876834871,0.8323731082968603,0.9999859020748202,0.003334435617154127,2.6192561415966584,0.4998235136901418,0.020809327707421506,0.8323731082968602
steady,3000.0,3,50.0,3,2.599739776105258,0.8159837669192522,0.9999323167426442,0.007210234253356137,2.5979298116076284,0.499108666675927,0.016319675338385044,0.8159837669192522
steady,3000.0,3,60.0,3,2.5168367665940816,0.783305034850551,0.9989430461689619,0.027235067367689735,2.509652128754635,0.4909767655971708,0.01305508391417585,0.783305034850551
steady,3000.0,3,70.0,3,2.599934204229103,0.5520763697676226,0.9891364159199915,0.07405444552516689,2.6271775733272205,0.9440400270011102,0.00788680528239461,0.5520763697676226
steady,3000.0,3,80.0,3,2.6404276431216043,0.5608054217361949,0.9905289973526255,0.07086116231249193,2.666186759922359,0.9392062165151228,0.0070100677717024355,0.5608054217361949
steady,3000.0,3,90.0,3,2.7164279857613143,0.5663281551992007,0.992647742077988,0.06462776695428134,2.7397436995242628,0.947537812486096,0.006292535057768897,0.5663281551992007
steady,3000.0,3,100.0,3,2.7720458855455012,0.5779254196841029,0.9949896610481685,0.055117647984929546,2.7916152999864634,0.9347775904937352,0.00577925419684103,0.5779254196841029
steady,3000.0,4,10.0,4,2.6846616843802398,0.535619949639075,0.9857845083558998,0.09542031224339913,2.7381188339228206,0.6337949386001847,0.0535619949639075,0.535619949639075
steady,3000.0,4,20.0,4,2.824639135420955,0.7273438371948517,0.9938760149733225,0.07399797662584565,2.843533027747177,0.4497489597755938,0.03636719185974259,0.7273438371948517
steady,3000.0,4,30.0,4,3.130362108111902,0.8086743845553321,0.9975897042780264,0.05413427766947224,3.121821177501196,0.3235209844584329,0.02695581281851107,0.8086743845553321
steady,3000.0,4,40.0,4,3.0669136396701258,0.7547631339757027,0.997299504605572,0.05531618555940102,3.050455566261772,0.3268113836160571,0.018869078349392568,0.7547631339757027
steady,3000.0,4,50.0,4,3.0708737496249237,0.7228533135296416,0.9947321925782737,0.0756037642472373,3.063474470422541,0.4362611943638836,0.01445706627059283,0.7228533135296416
steady,3000.0,4,60.0,4,3.0841833916253165,0.752440047588576,0.9951082940685582,0.07361995642350126,3.0875232841278337,0.4367277923146014,0.0125406674598096,0.752440047588576
steady,3000.0,4,70.0,4,2.9723546900787237,0.5462219387195099,0.9810862064346452,0.1227520159994198,3.039887658454606,0.6931700025009067,0.007803170553135855,0.5462219387195099
steady,3000.0,4,80.0,4,2.9909650082195793,0.48908027521635655,0.9621817995268476,0.16600209759908247,3.090150687806821,0.8778313282320602,0.006113503440204457,0.48908027521635655
steady,3000.0,4,90.0,4,3.047348079254347,0.47928731597424173,0.9636393587759201,0.16439942450810058,3.147049222406161,0.9080057058563726,0.005325414621936019,0.4792873159742417
steady,3000.0,4,100.0,4,3.0710493373803147,0.470349566850064,0.9721316365895236,0.14377899754653964,3.1586102046321627,0.9204506347807448,0.0047034956685006405,0.47034956685006407
steady,3000.0,5,10.0,5,2.988817819319176,0.5198151496538485,0.9839362403092979,0.11710003690741244,3.071783368171281,0.4529311214982664,0.05198151496538485,0.5198151496538485
steady,3000.0,5,20.0,5,2.916333982034593,0.7000037260093608,0.9855984498552107,0.11579867080942234,2.957823076790051,0.3556503947246923,0.03500018630046804,0.7000037260093608
steady,3000.0,5,30.0,5,2.7648700180256665,0.7225777622498025,0.9973612348759275,0.0482450401243875,2.772408587375891,0.2367294960220466,0.024085925408326752,0.7225777622498025
steady,3000.0,5,40.0,5,2.772717132745662,0.736342674849802,0.993768733001264,0.07386397492822895,2.7946973822687053,0.2817253904607865,0.01840856687124505,0.736342674849802
steady,3000.0,5,50.0,5,2.89164879244054,0.6733068387764565,0.9840004561810208,0.11987445505041693,2.942837284999333,0.3617001862750884,0.013466136775529129,0.6733068387764565
steady,3000.0,5,60.0,5,2.884551252331996,0.6734248119820635,0.9808214979515177,0.13052923361935576,2.938614409232612,0.3924021384225646,0.011223746866367726,0.6734248119820635
steady,3000.0,5,70.0,5,3.152110722703739,0.5101701086617637,0.9897262746186529,0.09866745169404222,3.221406205076184,0.4563956750974231,0.007288144409453768,0.5101701086617637
steady,3000.0,5,80.0,5,3.0586159015334964,0.4036004528999749,0.97797116573536,0.12752557985504698,3.166656403233411,0.7469694100258157,0.005045005661249687,0.4036004528999749
steady,3000.0,5,90.0,5,2.8683971333302507,0.378273684805465,0.9747344385874586,0.12467384333639513,2.977887251240826,0.7649634380908883,0.004203040942282945,0.3782736848054651
steady,3000.0,5,100.0,5,2.6420075538110734,0.36549382631060306,0.9604437224879669,0.1414011547256808,2.7670958709158664,0.7722900448681402,0.003654938263106031,0.36549382631060306
steady,3000.0,6,10.0,6,2.9741915943778934,0.475515535895684,0.9861484960146939,0.1080297560441258,3.069125708677348,0.3262485412589139,0.047551553589568404,0.47551553589568407
steady,3000.0,6,20.0,6,2.8943311419224713,0.6034813980879647,0.975011138679404,0.14531977194779022,2.971184469706205,0.3092752197471444,0.030174069904398238,0.6034813980879647
steady,3000.0,6,30.0,6,2.9300599170077013,0.6770764591316752,0.9962863754169836,0.05904617860880363,2.9471472168080544,0.1995209703249095,0.022569215304389174,0.6770764591316752
steady,3000.0,6,40.0,6,3.1319321668688564,0.6795505314686089,0.9955596480877834,0.06912000920724994,3.1421693109254183,0.2161271441610552,0.01698876328671522,0.6795505314686089
steady,3000.0,6,50.0,6,3.257016889117906,0.7106164832194187,0.9893851385308828,0.1107218607718244,3.283218151890248,0.2536695727177695,0.014212329664388375,0.7106164832194187
steady,3000.0,6,60.0,6,3.172265238431672,0.6652632621640007,0.9854428292445292,0.12436982096202745,3.2258069038751613,0.2549549769989827,0.011087721036066677,0.6652632621640007
steady,3000.0,6,70.0,6,3.1086141537907332,0.4715741539371246,0.9946442840584426,0.0710839541284493,3.1592095253752457,0.26658760063801,0.006736773627673208,0.4715741539371246
steady,3000.0,6,80.0,6,2.849479039760739,0.35373947568882336,0.97122576824148,0.13518462204432513,2.99432018270848,0.6122585801483086,0.004421743446110292,0.35373947568882336
steady,3000.0,6,90.0,6,2.760314140803609,0.34172537652139284,0.9711603321188077,0.12937266055942317,2.900655704988011,0.6327861738093338,0.003796948628015476,0.34172537652139284
steady,3000.0,6,100.0,6,2.7857248681452567,0.32577037360738287,0.96907518668331,0.13284525404013048,2.9309726640576126,0.662981812698456,0.003257703736073829,0.32577037360738287
steady,3000.0,7,10.0,7,3.2841474408720743,0.4392868686756448,0.9870176943021693,0.11555298572029439,3.3971305249123454,0.2430702295930398,0.04392868686756448,0.4392868686756448
steady,3000.0,7,20.0,7,3.153976092360701,0.6010965947723351,0.9814815933549936,0.1351734559410804,3.2259248713171083,0.2334462281137351,0.030054829738616756,0.6010965947723351
steady,3000.0,7,30.0,7,3.2015625054835346,0.7107474523148137,0.9940353156518499,0.08058568134107999,3.201148624760361,0.1530391049504689,0.023691581743827125,0.7107474523148137
steady,3000.0,7,40.0,7,3.1270059302061797,0.6844124922013438,0.9930146137628529,0.08433653816003668,3.1431951974943257,0.1785009476154198,0.017110312305033595,0.6844124922013438
steady,3000.0,7,50.0,7,3.3276064406961083,0.6548648213760522,0.9887594229462477,0.11263464529803839,3.379175622902844,0.192465631145383,0.013097296427521044,0.6548648213760522
steady,3000.0,7,60.0,7,2.8552985615638176,0.5904813815001722,0.9836471454545459,0.11503058378234676,2.9130156512192014,0.2217289128712096,0.009841356358336202,0.5904813815001722
steady,3000.0,7,70.0,7,2.892089574255571,0.44085223657788686,0.9958182990001713,0.058091634955185864,2.9418838216799648,0.2172322550611883,0.006297889093969812,0.44085223657788686
steady,3000.0,7,80.0,7,3.1008832730339235,0.33119307136025533,0.9882819791793224,0.0953125759948172,3.220027021880702,0.5011896462185086,0.0041399133920031915,0.33119307136025533
steady,3000.0,7,90.0,7,2.8879454091192454,0.3158388032995259,0.9843566206085983,0.10088866480147737,3.0175111931362304,0.5232118706276899,0.003509320036661399,0.3158388032995259
steady,3000.0,7,100.0,7,2.789736287156286,0.3127529893110914,0.9772713660358939,0.11724466592202788,2.9364982580234056,0.4905789914617883,0.003127529893110914,0.3127529893110914
steady,3000.0,8,10.0,8,3.0236172864506856,0.4398400347196585,0.9971796849744157,0.04976741416847093,3.070730574603771,0.1863921217362502,0.04398400347196585,0.4398400347196585
steady,3000.0,8,20.0,8,3.3571370592758325,0.6711103709503593,0.9806350130349323,0.14440671680369332,3.4196532491553127,0.1837801443506183,0.03355551854751797,0.6711103709503594
steady,3000.0,8,30.0,8,3.564022547755682,0.6841433819783732,0.9943154903690276,0.08533425651959246,3.5546574487296536,0.1235222816076472,0.022804779399279107,0.6841433819783732
steady,3000.0,8,40.0,8,3.3244403919397083,0.6905715194122362,0.9930026865679796,0.08720333574626461,3.355344194438175,0.1374770572401273,0.017264287985305903,0.6905715194122362
steady,3000.0,8,50.0,8,2.7488031749298814,0.5946879401705705,0.9805298878688786,0.11813416312191394,2.811514698505992,0.1674003431227018,0.01189375880341141,0.5946879401705705
steady,3000.0,8,60.0,8,2.857416975516459,0.5287662264853111,0.9857512589137752,0.10517336726586177,2.9139635854332573,0.1730020267057714,0.008812770441421851,0.5287662264853111
steady,3000.0,8,70.0,8,2.9917113041768624,0.41158752635281765,0.9974934516250116,0.046323025549947265,3.019114358320824,0.1869117834541857,0.005879821805040252,0.41158752635281765
steady,3000.0,8,80.0,8,2.8513820281839672,0.29418823270515065,0.9805178200746029,0.11177048630573533,3.014694557015266,0.4252084334164581,0.003677352908814383,0.29418823270515065
steady,3000.0,8,90.0,8,2.8227564043332785,0.2989975535754361,0.9746467243619247,0.12600026699309996,3.0019434368518176,0.4603922112333978,0.003322195039727068,0.2989975535754361
steady,3000.0,8,100.0,8,2.806458060685086,0.30604827648355104,0.965888488110654,0.14651836241915228,3.0098355350674755,0.4431967650425221,0.0030604827648355102,0.30604827648355104
