friction_model,x1,n_total,spacing_m,P_1,P_end,R_end,SNR_end_dB,sigma_noise_ref,n_det_th_15,pass_rate_th_15,n_det_th_25,pass_rate_th_25,n_det_th_35,pass_rate_th_35,n_det_th_50,pass_rate_th_50
steady,3000.0,2,10.0,2.7049944876376397,1.2409665337159574,0.45876859985756724,27.89580130605089,0.05,2,1.0,2,1.0,2,1.0,2,1.0
steady,3000.0,2,20.0,2.7052892211877584,1.2495961880180024,0.4619085376273989,27.955993747060774,0.05,2,1.0,2,1.0,2,1.0,2,1.0
steady,3000.0,2,30.0,2.7133671830728887,1.2631238421447155,0.4655189500428127,28.049518568462002,0.05,2,1.0,2,1.0,2,1.0,2,1.0
steady,3000.0,2,40.0,2.7215481074505834,1.2762520519601206,0.46894341072502765,28.13932898037764,0.05,2,1.0,2,1.0,2,1.0,2,1.0
steady,3000.0,2,50.0,2.7313023922267043,1.265551749888168,0.4633510201909289,28.066198086592284,0.05,2,1.0,2,1.0,2,1.0,2,1.0
steady,3000.0,2,60.0,2.730955013053874,1.289473796235444,0.4721695487738913,28.228850336113066,0.05,2,1.0,2,1.0,2,1.0,2,1.0
steady,3000.0,2,70.0,2.737130531752661,1.2850618181247209,0.4694923399586135,28.199080312924586,0.05,2,1.0,2,1.0,2,1.0,2,1.0
steady,3000.0,2,80.0,2.732206044337336,1.2934821148522977,0.47342041334441753,28.25580847422023,0.05,2,1.0,2,1.0,2,1.0,2,1.0
steady,3000.0,2,90.0,2.7329431263267274,1.2956471235394056,0.4740849200476589,28.27033461731557,0.05,2,1.0,2,1.0,2,1.0,2,1.0
steady,3000.0,2,100.0,2.7438108528474188,1.2961653797972132,0.47239603941798824,28.273808261117928,0.05,2,1.0,2,1.0,2,1.0,2,1.0
steady,3000.0,3,10.0,2.538948796438972,0.8867735338554146,0.3492679864592652,24.976854371815772,0.05,3,1.0,3,1.0,3,1.0,3,1.0
steady,3000.0,3,20.0,2.4510464382512924,0.4771287956397063,0.19466330306663446,19.593312470408495,0.05,3,1.0,3,1.0,3,1.0,2,0.6666666666666666
steady,3000.0,3,30.0,2.583012138774629,0.4847510066352768,0.18766888446185961,19.73097430545558,0.05,3,1.0,3,1.0,3,1.0,2,0.6666666666666666
steady,3000.0,3,40.0,2.6192561415966584,0.4998235136901418,0.19082651205905238,19.99693357756646,0.05,3,1.0,3,1.0,3,1.0,2,0.6666666666666666
steady,3000.0,3,50.0,2.5979298116076284,0.499108666675927,0.19211784107711244,19.984502136362547,0.05,3,1.0,3,1.0,3,1.0,2,0.6666666666666666
steady,3000.0,3,60.0,2.509652128754635,0.4909767655971708,0.19563538706091838,19.841818724712827,0.05,3,1.0,3,1.0,3,1.0,2,0.6666666666666666
steady,3000.0,3,70.0,2.6271775733272205,0.9440400270011102,0.3593362080224823,25.52040808604559,0.05,3,1.0,3,1.0,3,1.0,3,1.0
steady,3000.0,3,80.0,2.666186759922359,0.9392062165151228,0.35226572670493383,25.475819082604232,0.05,3,1.0,3,1.0,3,1.0,3,1.0
