n,friction,k_val,Tc_ms,Tc_s,X1_m,clock,time_s,x_m,dx_m
1,steady,0.0,1,0.001,4100.0,onset,6.654,4099.15,-0.8500000000003638
1,steady,0.0,1,0.001,4100.0,peak,6.655,4099.875,-0.125
1,steady,0.0,1,0.001,4100.0,E50,6.654000000760273,4099.150000551198,-0.8499994488020093
1,steady,0.0,1,0.001,4100.0,cepstrum,5.653999999999377,4099.1499999995485,-0.8500000004514732
1,steady,0.0,50,0.05,4100.0,onset,6.654,4099.15,-0.8500000000003638
1,steady,0.0,50,0.05,4100.0,peak,6.655,4099.875,-0.125
1,steady,0.0,50,0.05,4100.0,E50,6.675311019668826,4114.600489259899,14.600489259899405
1,steady,0.0,50,0.05,4100.0,cepstrum,5.653999999999377,4099.1499999995485,-0.8500000004514732
1,steady,0.0,200,0.2,4100.0,onset,6.654,4099.15,-0.8500000000003638
1,steady,0.0,200,0.2,4100.0,peak,6.655,4099.875,-0.125
1,steady,0.0,200,0.2,4100.0,E50,6.697019198699176,4130.338919056903,30.33891905690325
1,steady,0.0,200,0.2,4100.0,cepstrum,5.653999999999377,4099.1499999995485,-0.8500000004514732
1,steady,0.0,1000,1.0,4100.0,onset,6.553,4025.9249999999997,-74.07500000000027
1,steady,0.0,1000,1.0,4100.0,peak,6.655,4099.875,-0.125
1,steady,0.0,1000,1.0,4100.0,E50,8.066574313656348,5123.266377400852,1023.2663774008524
1,steady,0.0,1000,1.0,4100.0,cepstrum,5.653999999999377,4099.1499999995485,-0.8500000004514732
1,brunone_k0.01,0.01,1,0.001,4100.0,onset,6.654,4099.15,-0.8500000000003638
1,brunone_k0.01,0.01,1,0.001,4100.0,peak,6.668,4109.3,9.300000000000182
1,brunone_k0.01,0.01,1,0.001,4100.0,E50,6.667004844095186,4108.57851196901,8.578511969009924
1,brunone_k0.01,0.01,1,0.001,4100.0,cepstrum,5.666999999999375,4108.574999999547,8.57499999954689
1,brunone_k0.01,0.01,50,0.05,4100.0,onset,6.654,4099.15,-0.8500000000003638
1,brunone_k0.01,0.01,50,0.05,4100.0,peak,6.662,4104.95,4.949999999999818
1,brunone_k0.01,0.01,50,0.05,4100.0,E50,6.690452684440017,4125.578196219012,25.57819621901217
1,brunone_k0.01,0.01,50,0.05,4100.0,cepstrum,5.663999999999376,4106.399999999548,6.399999999547617
1,brunone_k0.01,0.01,200,0.2,4100.0,onset,6.655,4099.875,-0.125
1,brunone_k0.01,0.01,200,0.2,4100.0,peak,6.662,4104.95,4.949999999999818
1,brunone_k0.01,0.01,200,0.2,4100.0,E50,6.7078257549114575,4138.173672310807,38.17367231080698
1,brunone_k0.01,0.01,200,0.2,4100.0,cepstrum,5.661999999999376,4104.949999999548,4.949999999547799
1,brunone_k0.01,0.01,1000,1.0,4100.0,onset,6.567,4036.0750000000003,-63.92499999999973
1,brunone_k0.01,0.01,1000,1.0,4100.0,peak,6.665,4107.125,7.125
1,brunone_k0.01,0.01,1000,1.0,4100.0,E50,8.068464920255169,5124.637067184997,1024.6370671849972
1,brunone_k0.01,0.01,1000,1.0,4100.0,cepstrum,5.660999999999376,4104.224999999547,4.224999999547435
